Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,AUT Repair and installation of machinery and equipment,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Architectural and engineering activities; technical testing and analysis,AUT Scientific research and development,AUT Advertising and market research,"AUT Other professional, scientific and technical activities; veterinary activities",AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,AUT Activities of extraterritorial organizations and bodies
"AUT Crop and animal production, hunting and related service activities",8095.4,261.9,90.1,43.1,16019.0,375.8,2.6,1.6,1.2,1.8,107.5,8.8,52.4,3.5,7.1,4.1,1.5,0.7,1.2,3.8,1.1,5.0,0.0,5.6,9.8,0.1,326.3,5.8,246.2,619.7,16.7,1.1,4.3,21.8,2.7,845.0,1.9,68.3,16.5,12.0,11.2,4.5,2.9,160.7,56.5,0.0,0.0,0.0,0.0,206.0,91.5,54.0,74.6,263.4,14.4,0.0
AUT Forestry and logging,101.1,54.7,1.2,6.1,0.9,0.1,1265.0,235.2,3.2,2.2,122.1,20.5,27.9,0.3,2.9,0.5,0.2,0.1,0.2,0.8,0.1,25.6,0.0,0.7,0.2,0.0,44.9,0.4,5.3,3.3,3.7,0.1,1.2,2.8,0.3,2.7,0.8,0.4,1.5,1.2,1.0,0.5,0.7,6.9,4.9,0.0,0.0,0.0,0.0,5.4,2.3,0.8,0.7,2.1,0.3,0.0
AUT Fishing and aquaculture,16.0,0.0,12.4,1.0,439.3,31.8,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.1,0.1,0.1,0.5,0.1,4.8,0.0,0.3,0.1,0.0,5.5,0.3,12.2,134.4,0.3,0.0,0.7,1.5,0.1,480.3,0.6,0.2,0.5,0.8,0.6,0.1,0.5,2.1,3.3,0.0,0.0,0.0,0.0,2.2,4.4,0.6,0.6,12.4,0.2,0.0
AUT Mining and quarrying,41.6,0.7,0.6,4027.6,125.1,7.5,14.6,21.5,8.4,9571.7,387.0,16.2,12.9,601.2,12114.0,39.4,12.3,17.9,28.4,34.0,9.1,7.4,0.0,1484.1,24.1,0.4,539.4,20.9,1378.7,121.2,160.3,2.1,11.9,46.3,6.8,92.3,10.2,17.1,48.7,70.4,7.3,3.5,22.9,115.9,299.6,0.0,0.0,0.0,0.0,88.8,100.0,24.8,42.3,57.8,8.7,0.0
"AUT Manufacture of food products, beverages and tobacco products",1188.0,10.2,66.8,95.1,8120.6,260.2,12.1,14.5,10.7,13.0,217.8,103.1,55.1,14.6,20.1,22.6,14.7,8.7,20.6,45.6,17.1,20.1,0.0,17.0,26.1,6.3,220.9,74.4,579.1,2895.3,33.4,2.4,17.0,31.0,19.1,7411.5,18.1,42.1,89.9,74.6,43.7,2.0,5.5,81.8,198.4,0.0,0.0,0.0,0.0,126.4,372.9,222.6,282.6,558.5,69.3,0.0
"AUT Manufacture of textiles, wearing apparel and leather products",43.3,7.9,12.4,54.2,121.0,963.9,17.9,24.0,30.0,4.4,42.4,9.0,77.2,19.0,28.3,55.5,15.7,9.4,16.9,62.7,32.1,109.4,0.0,19.4,5.9,6.8,281.2,33.6,170.0,109.4,47.3,2.6,14.7,33.5,16.6,171.9,20.9,16.0,37.2,31.1,4.8,0.2,0.7,26.7,58.5,0.0,0.0,0.0,0.0,60.1,172.3,69.0,203.5,115.9,58.2,0.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",34.3,12.7,14.9,52.9,48.4,28.6,874.6,43.2,17.7,7.9,11.3,4.0,31.1,18.4,20.9,213.9,7.3,5.9,18.1,24.1,95.3,561.7,0.0,4.6,26.6,0.7,3712.7,11.1,232.8,206.5,34.5,1.3,4.1,72.2,8.7,39.9,11.1,23.6,35.0,10.6,1.7,0.3,0.9,105.6,20.8,0.0,0.0,0.0,0.0,36.7,96.6,143.3,20.5,75.1,4.4,0.0
AUT Manufacture of paper and paper products,46.3,0.6,0.6,53.4,741.8,19.3,23.6,664.6,386.9,3.0,77.7,66.2,67.8,75.2,15.8,27.7,15.8,11.2,16.0,22.4,7.8,13.4,0.0,27.8,4.9,2.0,368.4,13.0,380.5,247.3,31.5,2.7,28.7,14.3,16.2,154.4,296.1,9.7,60.1,37.5,19.2,0.3,1.0,23.2,84.9,0.0,0.0,0.0,0.0,62.9,210.0,150.8,188.3,55.6,22.6,0.0
AUT Printing and reproduction of recorded media,17.5,2.0,0.9,65.5,174.9,21.5,13.0,151.7,107.1,2.6,43.3,17.1,35.0,31.6,21.8,39.2,16.2,15.3,41.9,49.5,11.9,14.6,0.0,39.2,9.4,5.9,310.2,26.0,767.9,917.1,31.1,2.8,8.5,12.4,57.0,203.8,179.0,111.2,218.6,203.0,57.3,1.1,1.4,93.3,274.9,0.0,0.0,0.0,0.0,255.3,625.9,293.8,89.1,292.3,60.5,0.0
AUT Manufacture of coke and refined petroleum products ,722.2,108.0,88.6,3025.2,121.0,9.9,52.0,37.5,14.4,580.7,384.0,11.2,166.0,81.2,160.4,75.8,13.4,14.7,22.4,51.5,20.3,12.9,0.0,168.3,242.0,71.8,1104.8,151.1,186.5,70.2,3189.7,193.3,1469.6,137.0,243.2,80.9,13.2,15.6,316.8,36.1,6.0,0.7,1.5,46.1,99.4,0.0,0.0,0.0,0.0,92.4,442.2,38.2,105.8,90.4,27.9,0.0
