Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,AUT Repair and installation of machinery and equipment,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Architectural and engineering activities; technical testing and analysis,AUT Scientific research and development,AUT Advertising and market research,"AUT Other professional, scientific and technical activities; veterinary activities",AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,AUT Activities of extraterritorial organizations and bodies
"AUT Crop and animal production, hunting and related service activities",5876.8,187.1,65.1,24.5,9979.5,249.4,2.1,1.3,1.0,2.5,71.8,5.9,34.2,3.0,8.3,3.5,1.2,0.6,1.1,3.2,0.9,3.4,0.0,5.1,6.4,0.1,168.5,3.5,153.9,368.4,11.7,0.7,3.2,14.7,1.9,535.8,1.6,42.3,13.3,8.9,7.3,3.2,2.1,100.7,34.8,0.0,0.0,0.0,0.0,118.8,56.2,31.3,40.9,163.5,8.5,0.0
AUT Forestry and logging,78.1,41.4,0.9,3.6,0.8,0.1,809.9,155.7,2.2,2.4,85.9,14.2,19.2,0.3,2.9,0.5,0.2,0.1,0.2,0.7,0.1,17.4,0.0,0.7,0.2,0.0,24.2,0.3,4.3,2.7,2.4,0.0,0.9,2.1,0.2,2.3,0.7,0.3,1.4,1.0,0.8,0.4,0.6,5.4,3.7,0.0,0.0,0.0,0.0,4.0,1.9,0.6,0.6,1.7,0.2,0.0
AUT Fishing and aquaculture,10.9,0.0,8.4,0.6,254.7,19.7,0.1,0.1,0.1,0.4,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.4,0.1,2.9,0.0,0.3,0.1,0.0,3.2,0.2,7.0,73.8,0.3,0.0,0.5,1.1,0.1,280.8,0.4,0.1,0.4,0.6,0.4,0.1,0.3,1.5,2.2,0.0,0.0,0.0,0.0,1.5,2.7,0.4,0.4,7.4,0.1,0.0
AUT Mining and quarrying,14.2,0.2,0.2,996.3,38.9,2.4,4.3,6.6,2.4,4690.4,130.8,5.1,3.9,200.4,5511.1,13.5,3.7,5.9,9.2,10.2,2.8,2.3,0.0,493.1,7.0,0.1,118.9,5.4,412.6,33.1,45.9,0.6,3.0,11.9,1.8,28.4,3.0,5.0,15.1,20.2,1.8,0.9,5.7,30.3,72.7,0.0,0.0,0.0,0.0,21.6,27.4,6.6,10.9,16.2,2.4,0.0
"AUT Manufacture of food products, beverages and tobacco products",820.5,7.0,45.9,45.8,4809.6,159.0,7.4,8.9,6.6,12.4,137.9,63.4,33.9,9.5,18.2,15.7,9.3,5.9,13.6,30.0,10.4,12.1,0.0,11.4,15.3,3.6,103.4,41.0,327.7,1617.4,19.4,1.4,9.8,17.7,10.1,4422.2,11.3,24.8,55.4,46.0,23.1,1.1,3.3,46.7,105.5,0.0,0.0,0.0,0.0,65.3,207.4,120.6,145.4,329.8,38.0,0.0
"AUT Manufacture of textiles, wearing apparel and leather products",14.9,1.8,2.5,10.9,34.2,134.1,7.0,6.9,8.0,2.6,11.8,2.8,14.7,4.9,11.6,15.5,4.4,3.7,6.7,21.3,6.9,19.5,0.0,5.2,2.6,1.0,64.8,10.2,33.9,22.0,11.2,0.5,3.4,6.5,3.2,34.2,4.5,3.6,10.6,6.9,1.1,0.1,0.4,7.5,12.4,0.0,0.0,0.0,0.0,10.7,28.9,15.5,29.3,24.7,8.0,0.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",28.4,10.1,12.0,29.2,33.7,19.6,585.2,29.2,11.9,8.5,8.6,2.9,22.3,13.5,21.1,164.5,5.3,4.6,13.7,18.2,66.1,399.8,0.0,3.6,17.8,0.4,1826.7,7.5,152.8,134.6,22.3,0.9,2.6,45.1,5.3,28.3,7.5,16.2,24.9,7.7,1.1,0.2,0.6,67.0,13.3,0.0,0.0,0.0,0.0,21.8,62.5,90.3,12.3,50.0,2.8,0.0
AUT Manufacture of paper and paper products,33.1,0.4,0.4,25.5,447.9,9.3,14.1,401.2,233.8,2.9,50.2,41.7,42.5,47.6,13.9,18.8,9.9,7.5,10.5,14.9,4.8,8.4,0.0,17.7,3.0,1.2,160.9,7.5,219.0,142.4,17.8,1.6,16.0,8.1,8.7,94.4,183.3,6.0,37.5,23.6,10.3,0.2,0.6,13.6,45.5,0.0,0.0,0.0,0.0,33.0,119.2,83.3,98.3,33.1,12.6,0.0
AUT Printing and reproduction of recorded media,12.8,1.5,0.6,32.3,108.1,9.9,7.9,93.8,66.6,2.6,29.0,11.1,22.6,20.7,19.7,27.4,10.5,10.5,28.1,32.6,7.5,9.1,0.0,26.0,5.8,3.6,140.6,14.9,460.9,548.4,18.1,1.7,4.9,7.1,31.7,129.5,115.4,69.5,141.0,130.5,32.2,0.6,0.8,54.3,150.0,0.0,0.0,0.0,0.0,137.8,369.8,169.4,47.8,181.4,35.4,0.0
AUT Manufacture of coke and refined petroleum products ,513.4,75.7,62.9,1441.3,72.5,6.2,30.5,22.5,8.3,546.8,246.3,6.8,102.4,51.5,136.1,49.2,7.9,9.0,13.6,30.9,11.9,7.6,0.0,107.5,141.5,42.7,477.2,82.6,107.0,40.0,1794.1,112.2,824.8,75.5,130.6,48.8,8.2,9.3,196.8,22.1,3.2,0.3,0.8,25.2,51.9,0.0,0.0,0.0,0.0,48.0,252.0,20.9,55.3,51.7,15.6,0.0
AUT Manufacture of chemicals and chemical products ,584.1,27.4,4.7,249.8,96.7,24.7,42.8,100.8,72.5,211.2,1153.9,74.9,813.6,95.0,87.0,66.2,42.3,46.2,21.3,86.3,31.4,33.3,0.0,36.5,95.1,2.0,485.7,22.1,120.9,53.8,48.2,1.7,12.1,21.8,5.7,99.3,6.2,22.0,24.6,38.4,2.5,0.4,2.6,54.2,93.6,0.0,0.0,0.0,0.0,153.2,98.1,32.7,95.7,141.5,48.4,0.0
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,353.6,0.9,0.5,14.2,22.3,2.9,2.7,16.0,6.1,6.4,28.0,115.8,17.6,4.8,8.5,6.0,2.8,2.2,2.7,8.6,2.2,2.1,0.0,3.4,2.9,0.1,35.4,5.5,28.0,17.6,5.2,2.5,3.3,6.1,1.1,16.5,5.0,7.9,5.3,9.0,1.4,0.4,1.8,10.8,24.8,0.0,0.0,0.0,0.0,21.2,11.8,24.6,109.6,201.4,3.0,0.0
AUT Manufacture of rubber and plastic products,89.1,5.8,11.1,62.2,544.1,33.7,53.4,103.4,221.8,42.7,284.8,71.0,269.7,36.0,54.1,65.1,70.7,37.9,72.1,355.0,50.5,109.2,0.0,20.3,47.7,1.1,855.2,68.0,229.3,110.9,110.7,1.8,37.4,55.9,32.0,122.2,22.8,7.5,112.7,44.0,2.0,0.2,1.0,106.3,51.4,0.0,0.0,0.0,0.0,59.7,182.9,40.6,50.4,79.6,13.2,0.0
AUT Manufacture of other non-metallic mineral products,43.5,21.4,2.7,42.8,184.7,5.1,30.8,8.1,8.2,7.3,70.7,22.1,50.0,1216.9,95.1,159.4,22.0,33.6,37.3,123.7,22.3,30.7,0.0,87.5,43.5,0.9,2762.0,45.4,122.5,39.7,14.7,0.5,4.0,8.8,2.0,79.2,3.1,3.5,9.3,7.7,1.7,0.3,1.3,69.9,26.7,0.0,0.0,0.0,0.0,32.4,47.0,15.0,37.9,70.7,9.5,0.0
