Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,AUT Repair and installation of machinery and equipment,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Architectural and engineering activities; technical testing and analysis,AUT Scientific research and development,AUT Advertising and market research,"AUT Other professional, scientific and technical activities; veterinary activities",AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,AUT Activities of extraterritorial organizations and bodies
"AUT Crop and animal production, hunting and related service activities",11105.7,315.7,179.4,416.5,23065.5,504.6,4.8,2.7,1.6,0.6,31.0,91.8,99.7,4.8,5.6,5.8,0.8,1.1,2.1,3.4,2.3,10.2,0.0,9.3,9.7,0.5,618.2,4.4,379.9,1433.0,48.3,5.8,6.5,32.9,6.2,1088.2,1.5,37.8,18.2,22.6,11.1,11.5,16.3,89.1,106.2,0.0,0.0,0.0,0.0,184.0,155.2,79.4,175.6,377.5,35.8,0.0
AUT Forestry and logging,116.9,139.3,0.4,20.8,2.9,0.2,1420.1,0.3,2.9,0.8,156.5,27.6,23.5,0.8,0.3,0.9,0.2,0.2,0.3,0.8,0.4,0.2,0.0,1.8,0.2,0.2,54.8,0.3,9.0,6.8,7.3,0.5,2.7,9.3,0.9,6.7,0.3,0.8,1.6,5.3,3.0,3.7,2.8,7.5,11.7,0.0,0.0,0.0,0.0,12.7,6.0,3.8,4.9,5.7,0.3,0.0
AUT Fishing and aquaculture,22.6,0.0,23.2,8.3,331.6,30.4,0.3,0.3,0.2,0.1,1.7,0.6,0.4,0.7,0.2,0.7,0.1,0.2,0.3,0.6,0.3,93.4,0.0,1.5,0.2,0.2,12.3,0.3,22.5,279.5,2.3,0.3,2.3,7.3,0.6,183.0,0.2,0.6,0.8,3.9,2.6,2.9,2.0,3.9,9.2,0.0,0.0,0.0,0.0,8.4,9.8,4.3,8.9,13.3,0.4,0.0
AUT Mining and quarrying,218.4,1.4,9.0,9458.5,670.3,15.9,57.4,97.9,36.4,11896.0,1277.0,59.3,83.5,1254.4,26714.5,194.9,24.6,29.5,52.3,82.6,47.2,71.0,0.0,1984.4,57.0,11.9,5099.9,45.2,3851.9,404.5,464.7,114.2,130.3,398.6,185.7,414.3,26.0,58.0,200.3,252.7,92.9,100.2,245.6,568.5,1111.7,0.0,0.0,0.0,0.0,512.4,528.8,184.4,283.4,284.2,14.1,0.0
"AUT Manufacture of food products, beverages and tobacco products",1536.5,1.2,69.6,276.2,11897.8,270.0,8.7,16.5,7.1,3.6,392.6,101.4,50.5,15.8,8.4,18.3,7.4,15.6,18.2,19.2,21.8,24.9,0.0,34.4,13.3,10.0,399.0,38.5,1249.0,1682.9,46.4,7.0,45.1,26.7,21.6,11156.4,2.4,19.4,21.1,26.1,78.6,22.6,26.1,39.9,248.7,0.0,0.0,0.0,0.0,166.4,435.7,405.9,1320.0,912.2,53.3,0.0
"AUT Manufacture of textiles, wearing apparel and leather products",51.4,0.8,5.0,136.6,101.0,214.1,8.3,7.3,13.6,1.9,31.7,11.4,23.1,18.0,5.7,40.3,7.5,8.0,23.5,32.4,27.7,55.7,0.0,17.0,4.0,2.5,461.2,21.2,145.2,132.5,55.4,3.5,6.8,12.2,11.8,52.5,1.1,11.2,15.9,6.6,6.0,2.6,3.2,12.2,30.6,0.0,0.0,0.0,0.0,35.8,87.3,66.5,186.1,96.2,17.3,0.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",27.6,0.3,2.2,59.1,16.2,7.5,558.3,118.7,1.8,3.0,4.9,2.3,17.4,27.2,3.9,69.0,2.2,3.3,20.4,15.1,78.5,566.7,0.0,3.0,11.5,1.4,7517.2,5.4,94.9,63.0,34.5,1.1,1.7,46.5,4.1,13.5,0.4,5.2,2.7,3.3,1.5,0.9,2.6,9.3,12.6,0.0,0.0,0.0,0.0,8.7,21.7,106.2,16.0,61.1,0.5,0.0
AUT Manufacture of paper and paper products,34.6,0.2,0.6,74.7,657.6,17.5,17.6,623.3,455.4,3.2,94.2,110.2,56.8,70.8,1.8,25.8,8.5,11.0,20.2,16.3,8.0,11.1,0.0,26.5,4.2,3.4,555.7,11.4,652.1,441.4,49.9,9.0,28.0,6.5,25.6,101.4,345.3,64.7,22.1,22.8,31.2,29.9,8.7,16.7,71.3,0.0,0.0,0.0,0.0,79.3,251.4,135.5,155.7,90.0,13.4,0.0
AUT Printing and reproduction of recorded media,42.7,0.5,1.1,202.0,124.3,11.9,12.1,278.8,748.6,1.6,41.1,26.7,22.2,23.3,5.7,43.4,10.0,13.9,33.8,28.7,16.2,13.4,0.0,37.1,6.6,2.9,397.9,22.4,486.1,640.6,56.1,3.8,9.5,22.7,68.6,125.5,703.2,527.5,172.7,133.5,79.2,220.0,74.6,83.0,369.5,0.0,0.0,0.0,0.0,213.6,525.9,292.1,83.6,240.3,16.8,0.0
AUT Manufacture of coke and refined petroleum products ,744.5,193.8,106.5,2312.0,92.5,4.4,22.8,19.0,9.2,282.9,566.1,7.1,141.0,62.7,489.1,71.7,1.7,4.6,10.7,17.4,45.7,3.6,0.0,111.7,61.3,33.1,2876.8,62.8,293.8,150.8,1967.3,218.5,2225.0,82.5,153.5,40.3,10.5,11.9,300.6,5.1,37.9,17.8,75.4,23.9,205.9,0.0,0.0,0.0,0.0,83.4,236.1,34.0,91.3,60.5,8.9,0.0
