Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,AUT Repair and installation of machinery and equipment,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Architectural and engineering activities; technical testing and analysis,AUT Scientific research and development,AUT Advertising and market research,"AUT Other professional, scientific and technical activities; veterinary activities",AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,AUT Activities of extraterritorial organizations and bodies
"AUT Crop and animal production, hunting and related service activities",8823.2,286.3,106.3,135.6,19026.2,440.5,2.9,1.7,1.2,1.3,101.3,22.8,63.5,3.4,6.6,4.5,1.4,0.7,1.3,3.6,1.3,6.3,0.0,5.5,10.2,0.1,425.4,6.1,283.6,848.1,22.3,1.9,4.6,25.4,3.4,1016.1,1.8,72.1,17.7,14.1,13.2,6.8,5.7,158.5,73.6,0.0,0.0,0.0,0.0,228.1,108.9,65.4,105.1,305.0,21.0,0.0
AUT Forestry and logging,106.3,73.7,1.1,11.2,1.3,0.1,1420.6,212.8,3.4,1.7,134.8,23.1,28.9,0.4,2.6,0.6,0.2,0.1,0.2,0.9,0.2,24.0,0.0,0.7,0.2,0.0,53.4,0.4,5.8,4.3,4.6,0.1,1.5,3.9,0.4,3.7,0.9,0.5,1.6,1.7,1.4,1.1,1.3,7.1,6.5,0.0,0.0,0.0,0.0,6.9,2.9,1.4,1.4,2.7,0.3,0.0
AUT Fishing and aquaculture,16.9,0.0,14.0,2.2,450.8,33.8,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.2,0.3,0.4,0.1,0.1,0.2,0.6,0.1,19.9,0.0,0.4,0.1,0.0,6.6,0.3,13.9,175.6,0.6,0.1,1.0,2.3,0.2,480.1,0.6,0.3,0.6,1.1,1.0,0.5,0.8,2.4,4.3,0.0,0.0,0.0,0.0,3.2,5.4,1.1,1.4,12.9,0.3,0.0
AUT Mining and quarrying,111.3,2.0,2.6,9436.7,314.5,15.9,35.8,52.5,23.0,11987.3,741.2,36.6,39.0,1014.0,21024.0,97.0,27.8,34.6,55.5,80.6,23.8,24.0,0.0,2134.7,52.6,2.1,2046.2,50.3,2624.4,308.2,323.9,23.7,49.0,164.3,42.8,241.4,32.1,41.0,129.8,172.4,32.0,23.0,108.0,314.0,828.3,0.0,0.0,0.0,0.0,270.0,284.8,78.6,122.0,157.4,20.8,0.0
"AUT Manufacture of food products, beverages and tobacco products",1324.0,9.4,70.9,180.3,10039.6,297.8,12.8,16.3,10.9,9.7,267.4,114.7,59.4,15.8,18.7,24.6,15.5,10.8,23.5,44.6,20.3,23.4,0.0,18.8,26.1,6.9,300.4,80.2,759.4,3261.0,40.1,3.4,23.6,35.5,23.3,9572.5,17.8,45.5,92.1,76.9,62.9,6.9,11.1,82.8,255.1,0.0,0.0,0.0,0.0,155.5,432.2,296.0,526.9,687.4,81.9,0.0
"AUT Manufacture of textiles, wearing apparel and leather products",36.1,4.1,6.8,77.8,96.7,501.8,14.9,17.0,21.9,2.7,30.9,7.4,43.8,14.0,17.7,43.0,11.3,8.4,17.0,49.1,24.6,71.6,0.0,13.6,5.3,3.4,316.0,28.0,125.7,97.2,41.5,2.3,9.7,21.9,12.6,105.3,12.2,12.2,27.1,18.1,4.5,0.9,1.3,19.2,44.0,0.0,0.0,0.0,0.0,42.2,108.6,58.3,156.7,88.0,34.8,0.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",34.1,11.1,13.0,78.9,47.6,26.7,923.1,62.0,16.5,5.9,10.8,4.3,30.9,20.9,18.9,218.6,7.1,6.1,20.8,23.8,105.0,638.8,0.0,4.2,25.6,0.8,5218.2,11.0,230.8,213.6,39.3,1.5,4.0,79.5,9.3,40.7,10.6,23.5,33.2,10.1,2.0,0.5,1.5,98.5,22.7,0.0,0.0,0.0,0.0,37.2,92.3,158.6,23.5,83.1,4.3,0.0
AUT Manufacture of paper and paper products,47.8,0.5,0.6,83.8,862.0,20.2,26.1,766.7,454.9,2.7,89.9,82.4,75.0,82.8,15.3,32.5,17.6,13.3,19.7,24.9,9.1,15.1,0.0,28.0,5.3,2.3,501.7,15.2,484.9,338.2,40.7,4.3,33.9,16.0,21.5,180.2,359.6,16.9,65.9,42.4,27.5,4.0,2.3,25.2,107.1,0.0,0.0,0.0,0.0,79.9,251.0,179.5,231.1,71.5,26.9,0.0
AUT Printing and reproduction of recorded media,22.1,1.9,0.9,119.4,187.4,18.6,14.4,193.9,239.7,2.1,46.3,19.9,35.7,32.1,20.8,45.4,17.4,17.1,45.6,52.0,13.8,16.1,0.0,37.6,9.8,5.3,387.0,30.1,792.9,1017.7,39.6,3.3,9.6,16.2,69.2,223.8,306.4,205.8,240.0,216.8,77.1,49.4,14.2,101.5,357.5,0.0,0.0,0.0,0.0,289.2,673.0,339.0,103.6,315.7,63.8,0.0
AUT Manufacture of coke and refined petroleum products ,730.3,130.3,91.6,3976.3,131.4,10.3,50.1,36.6,14.9,425.7,435.9,13.4,169.5,79.8,243.6,83.4,12.5,14.5,23.5,49.0,28.4,12.7,0.0,146.1,209.4,60.0,1700.7,148.6,224.8,100.0,3231.5,217.6,1742.9,142.1,253.1,85.0,14.0,16.8,342.9,32.7,15.5,5.7,21.7,45.1,143.7,0.0,0.0,0.0,0.0,102.5,423.4,43.4,123.3,96.5,27.4,0.0
