Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,AUT Repair and installation of machinery and equipment,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Architectural and engineering activities; technical testing and analysis,AUT Scientific research and development,AUT Advertising and market research,"AUT Other professional, scientific and technical activities; veterinary activities",AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,AUT Activities of extraterritorial organizations and bodies
"AUT Crop and animal production, hunting and related service activities",12040.2,101.9,208.8,578.7,24569.9,715.3,4.0,2.8,1.7,0.1,77.7,102.4,139.4,4.3,5.7,5.7,0.3,1.0,2.1,2.2,2.3,8.6,0.0,13.4,14.4,0.4,742.9,5.2,395.2,1232.1,45.5,4.1,6.1,25.1,4.2,1061.9,1.8,34.7,12.2,16.7,9.0,9.9,14.9,84.7,116.0,0.0,0.0,0.0,0.0,178.3,152.9,79.0,183.1,421.4,60.3,0.0
AUT Forestry and logging,86.3,203.8,0.2,20.5,2.9,0.1,1471.7,0.4,5.1,0.2,160.9,31.0,26.9,1.0,1.0,1.0,0.1,0.2,0.3,0.7,0.4,0.2,0.0,1.5,0.3,0.3,15.9,0.4,7.5,4.6,5.9,0.5,3.4,8.3,0.9,6.5,0.4,0.7,1.1,4.1,2.9,4.4,2.9,6.7,12.8,0.0,0.0,0.0,0.0,11.1,5.5,3.7,6.4,6.0,0.2,0.0
AUT Fishing and aquaculture,19.8,0.0,19.4,5.0,343.1,24.6,0.3,0.3,0.3,0.0,0.2,0.2,0.3,0.8,0.7,0.7,0.1,0.1,0.3,0.5,0.3,124.0,0.0,1.2,0.3,0.2,11.8,0.3,30.4,429.0,2.1,0.3,2.6,6.4,0.6,232.0,0.3,0.5,0.7,3.1,2.2,3.4,2.2,4.6,9.8,0.0,0.0,0.0,0.0,8.0,8.7,2.7,4.9,15.9,0.2,0.0
AUT Mining and quarrying,220.8,1.3,10.8,9640.8,651.5,11.7,56.2,92.4,40.5,13190.9,983.4,47.2,94.1,1070.4,16718.0,199.1,9.4,23.3,46.8,51.0,50.0,51.7,0.0,1900.0,59.1,6.9,4560.9,32.0,2489.7,306.6,369.6,33.4,122.1,289.3,111.5,327.0,30.9,40.3,162.2,160.3,51.4,61.8,199.6,505.4,891.7,0.0,0.0,0.0,0.0,362.1,415.3,126.3,220.9,186.2,6.7,0.0
"AUT Manufacture of food products, beverages and tobacco products",1709.4,0.9,44.8,252.0,12232.5,293.2,12.2,19.3,11.7,2.1,252.1,117.7,30.3,21.6,27.5,29.0,6.3,16.5,26.8,25.6,29.3,30.3,0.0,25.1,18.8,9.5,463.3,52.8,1263.8,1630.8,59.8,5.2,33.6,24.8,23.9,11634.7,4.6,22.9,21.3,29.3,99.7,36.9,28.9,51.0,300.1,0.0,0.0,0.0,0.0,202.3,428.6,436.6,1580.7,1175.5,66.5,0.0
"AUT Manufacture of textiles, wearing apparel and leather products",43.8,0.5,2.7,108.2,71.7,67.3,7.3,7.2,12.6,0.4,28.5,12.5,23.3,20.9,17.3,37.7,3.8,6.2,19.0,23.9,23.7,33.9,0.0,17.7,5.4,1.5,304.6,17.8,95.1,48.6,38.2,1.9,6.0,4.4,6.8,35.7,1.4,7.6,11.8,5.3,3.4,2.2,2.3,8.9,25.8,0.0,0.0,0.0,0.0,28.4,54.4,47.6,159.4,69.1,8.6,0.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",27.1,0.1,1.3,42.6,12.8,3.7,643.9,220.5,1.9,0.4,3.4,1.4,13.2,22.6,22.2,78.6,1.1,2.5,16.8,11.4,88.7,404.6,0.0,2.6,12.5,1.4,7257.9,5.2,60.7,33.2,25.8,1.0,2.2,11.9,3.2,11.9,0.5,3.8,1.9,3.5,1.8,1.9,2.2,7.0,11.3,0.0,0.0,0.0,0.0,9.0,16.0,100.7,16.8,69.7,0.4,0.0
AUT Manufacture of paper and paper products,29.3,0.2,0.5,61.9,726.3,8.2,15.4,609.6,459.3,0.4,71.4,125.6,48.0,88.5,8.6,29.5,4.5,11.7,20.8,15.0,8.4,8.8,0.0,33.7,4.7,2.9,457.6,10.0,666.0,394.3,41.7,6.0,11.7,2.6,20.9,104.8,425.0,59.2,18.3,19.7,26.1,35.3,7.4,12.7,60.5,0.0,0.0,0.0,0.0,78.9,219.2,119.4,184.4,77.6,8.2,0.0
AUT Printing and reproduction of recorded media,68.8,0.1,0.9,294.8,98.6,5.2,9.9,71.7,437.2,0.4,23.0,25.7,16.2,30.6,30.6,54.3,3.8,16.1,37.0,23.0,29.6,11.1,0.0,55.2,13.1,3.4,592.1,20.6,449.7,502.8,84.0,11.3,30.1,65.7,50.0,64.0,585.4,419.6,165.1,167.2,52.2,227.7,159.7,170.9,676.1,0.0,0.0,0.0,0.0,278.2,411.9,230.5,96.1,208.2,7.7,0.0
AUT Manufacture of coke and refined petroleum products ,923.1,235.3,120.5,2733.1,116.1,7.2,17.7,20.9,13.8,70.1,507.2,9.7,137.4,74.7,553.5,86.7,2.3,4.7,11.8,17.3,69.4,3.5,0.0,147.1,86.8,47.5,3129.7,69.9,352.5,139.4,2371.1,289.0,2292.6,102.6,164.8,52.6,17.3,18.0,304.5,7.9,50.3,23.9,102.4,41.4,220.3,0.0,0.0,0.0,0.0,113.0,264.7,44.0,136.3,79.1,7.9,0.0
