Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,AUT Repair and installation of machinery and equipment,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Architectural and engineering activities; technical testing and analysis,AUT Scientific research and development,AUT Advertising and market research,"AUT Other professional, scientific and technical activities; veterinary activities",AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,AUT Activities of extraterritorial organizations and bodies
"AUT Crop and animal production, hunting and related service activities",10257.5,337.1,150.0,324.7,21265.1,477.1,4.0,2.4,1.5,1.0,74.3,55.2,84.3,4.4,7.1,5.5,1.2,1.0,1.8,3.7,1.9,8.4,0.0,7.5,10.9,0.3,533.8,5.7,350.5,1153.4,36.2,3.7,6.2,30.2,5.0,1109.5,1.8,59.1,20.1,19.2,13.1,10.2,11.9,130.3,93.9,0.0,0.0,0.0,0.0,223.7,137.8,73.5,145.4,348.2,32.1,0.0
AUT Forestry and logging,107.6,110.3,0.8,17.5,2.0,0.2,1382.3,107.3,3.1,1.2,142.7,24.0,25.9,0.6,1.5,0.8,0.2,0.2,0.3,0.9,0.3,12.3,0.0,1.1,0.2,0.1,51.8,0.4,7.6,5.9,5.7,0.3,2.3,6.3,0.6,5.5,0.8,0.6,1.7,3.4,2.2,2.4,2.2,7.3,9.1,0.0,0.0,0.0,0.0,10.2,4.5,2.5,3.0,4.2,0.4,0.0
AUT Fishing and aquaculture,19.5,0.0,18.7,5.5,383.7,31.2,0.3,0.3,0.2,0.2,1.1,0.5,0.4,0.4,0.3,0.6,0.2,0.1,0.2,0.7,0.2,52.8,0.0,0.8,0.2,0.1,9.2,0.4,17.8,221.7,1.3,0.2,1.7,4.4,0.4,341.8,0.6,0.5,0.8,2.4,1.7,1.6,1.5,3.2,6.7,0.0,0.0,0.0,0.0,5.9,7.6,2.5,4.4,12.9,0.5,0.0
AUT Mining and quarrying,194.2,2.7,6.7,11944.2,546.1,19.1,56.6,87.2,35.7,13007.1,1137.6,55.0,72.4,1282.3,28065.6,165.2,31.4,38.4,64.0,97.8,41.6,52.4,0.0,2284.2,69.4,6.9,4111.5,58.7,3706.3,419.6,447.0,74.7,109.4,317.9,120.9,389.0,41.5,58.3,202.3,243.8,71.6,72.4,220.0,488.4,1125.9,0.0,0.0,0.0,0.0,480.8,490.2,148.6,229.6,256.2,24.1,0.0
"AUT Manufacture of food products, beverages and tobacco products",1441.5,6.1,73.8,264.0,10828.5,282.4,11.0,16.6,9.0,6.6,335.4,109.6,57.2,16.3,13.8,21.8,11.8,13.0,22.0,30.7,21.4,24.4,0.0,25.4,21.2,8.1,350.4,62.0,1013.8,2551.7,43.4,5.1,34.7,31.4,22.5,10617.6,10.6,34.3,59.9,54.3,70.9,15.8,19.4,61.1,255.8,0.0,0.0,0.0,0.0,172.8,445.2,345.3,926.9,792.6,75.3,0.0
"AUT Manufacture of textiles, wearing apparel and leather products",44.8,2.5,6.0,126.0,96.8,333.5,11.4,12.4,18.6,2.3,32.3,8.9,33.4,16.0,11.9,43.3,9.4,8.4,20.6,40.7,27.1,65.3,0.0,15.2,5.0,2.8,399.4,25.5,141.6,119.6,49.8,3.0,8.1,16.3,12.3,75.6,6.6,12.3,21.7,11.4,5.2,2.0,2.3,15.0,36.9,0.0,0.0,0.0,0.0,41.2,99.3,63.1,178.5,94.9,27.6,0.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",29.6,5.9,7.7,75.5,29.7,16.1,720.0,85.0,8.6,4.1,7.8,3.5,23.6,22.8,11.3,143.2,4.4,4.6,20.1,17.5,88.9,575.2,0.0,3.5,18.6,1.0,5904.0,7.9,162.9,133.5,35.4,1.3,3.0,58.8,6.4,26.3,5.1,14.0,17.3,6.3,1.7,0.8,2.1,50.8,16.8,0.0,0.0,0.0,0.0,23.9,56.0,124.2,19.7,70.5,2.4,0.0
AUT Manufacture of paper and paper products,40.3,0.4,0.6,84.9,725.7,19.0,21.4,680.4,434.8,2.7,90.7,90.3,65.9,75.3,9.3,28.8,13.2,12.0,19.7,20.6,8.5,13.1,0.0,25.6,5.0,2.6,504.0,13.6,556.8,375.2,43.7,6.2,31.3,11.2,22.4,141.7,340.2,34.1,45.8,33.7,28.1,14.7,5.1,20.2,89.0,0.0,0.0,0.0,0.0,83.2,247.7,150.4,192.7,79.0,22.1,0.0
AUT Printing and reproduction of recorded media,30.8,1.4,1.0,174.8,148.4,14.8,13.2,232.3,481.1,1.9,44.1,21.9,29.5,27.6,14.3,44.2,13.8,15.3,39.3,39.9,14.5,14.7,0.0,35.4,8.8,4.0,373.8,27.3,651.1,816.6,46.4,3.3,9.4,18.4,67.1,176.0,501.0,358.4,204.9,174.2,76.6,142.5,43.4,87.3,356.9,0.0,0.0,0.0,0.0,262.0,598.1,304.2,91.4,274.5,43.2,0.0
AUT Manufacture of coke and refined petroleum products ,754.8,181.7,105.3,3496.4,109.3,6.7,36.5,27.7,11.4,346.3,521.0,11.6,158.4,72.6,402.9,78.2,6.0,9.0,17.0,28.5,38.1,7.3,0.0,126.4,139.3,45.4,2333.4,105.9,270.6,128.1,2642.2,223.9,2101.4,109.3,202.9,61.5,12.3,14.2,329.7,17.3,28.3,13.6,55.2,31.1,176.8,0.0,0.0,0.0,0.0,95.9,333.7,38.1,111.3,78.4,18.6,0.0
AUT Manufacture of chemicals and chemical products ,848.3,20.6,5.2,972.3,180.3,28.5,69.8,188.7,99.3,127.1,1633.9,420.4,1391.3,194.7,59.9,107.5,50.9,99.8,39.5,97.1,63.2,47.7,0.0,63.0,176.7,3.2,1836.1,36.7,318.9,145.8,83.0,4.0,21.4,37.8,10.6,132.3,9.9,31.4,28.8,43.6,8.0,4.9,20.2,84.2,214.0,0.0,0.0,0.0,0.0,329.3,150.5,81.4,238.2,349.6,52.0,0.0
