Unnamed: 0,Total Output Scenario 1
"AUT Crop and animal production, hunting and related service activities",1.6735899267356703e+18
AUT Forestry and logging,2.4989256764027315e+17
AUT Fishing and aquaculture,5.242336739293667e+16
AUT Mining and quarrying,2.0923594904908805e+18
"AUT Manufacture of food products, beverages and tobacco products",1.0158070206269934e+18
"AUT Manufacture of textiles, wearing apparel and leather products",9.64210185152286e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.407583585275317e+17
AUT Manufacture of paper and paper products,4.4817370692798976e+17
AUT Printing and reproduction of recorded media,5.822254672562104e+17
AUT Manufacture of coke and refined petroleum products ,1.5907949451589967e+18
AUT Manufacture of chemicals and chemical products ,1.0141477903526364e+18
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.6778232239368995e+17
AUT Manufacture of rubber and plastic products,7.253262263506656e+17
AUT Manufacture of other non-metallic mineral products,6.342870650052489e+17
AUT Manufacture of basic metals,1.789194200453704e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",1.1095638259292134e+18
"AUT Manufacture of computer, electronic and optical products",2.2377408559127542e+17
AUT Manufacture of electrical equipment,1.9522656968268093e+17
AUT Manufacture of machinery and equipment n.e.c.,3.7975036039717395e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4.771621388186582e+17
AUT Manufacture of other transport equipment,3.3834837733889606e+17
AUT Manufacture of furniture; other manufacturing,1.6624752624347978e+17
"AUT Electricity, gas, steam and air conditioning supply",1.5496711627208374e+18
"AUT Water collection, treatment and supply",5.536665751697282e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",8.61646442375738e+16
AUT Construction,3.34446294269626e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7.586041230168867e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.858412942772291e+18
"AUT Retail trade, except of motor vehicles and motorcycles",8.998362225051903e+17
AUT Land transport and transport via pipelines,1.1182780455961179e+18
AUT Water transport,4.2660779501286624e+17
AUT Air transport,1.4007010239410488e+18
AUT Warehousing and support activities for transportation,1.8856475100222743e+18
AUT Postal and courier activities,7.826741892190221e+17
AUT Accommodation and food service activities,7.438507315932092e+17
AUT Publishing activities,6.696471604674081e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.2218782005619392e+18
AUT Telecommunications,1.9125201948045952e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.2516885981433874e+18
"AUT Financial service activities, except insurance and pension funding",3.402585888591308e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.853899160847672e+17
AUT Activities auxiliary to financial services and insurance activities,8.528251225950782e+18
AUT Real estate activities,3.596852452537202e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.328663934231895e+18
AUT Administrative and support service activities,5.036326598835406e+18
AUT Public administration and defence; compulsory social security,1.1069101867942017e+18
AUT Education,4.15392985992826e+17
AUT Human health and social work activities,5.502363043673614e+16
AUT Other service activities,1.5309874407271086e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.1923849681190043e+17
