Unnamed: 0,Total Output Scenario 1
"AUT Crop and animal production, hunting and related service activities",8.647753997728024e+17
AUT Forestry and logging,1.252647733938386e+17
AUT Fishing and aquaculture,2.950720095213325e+16
AUT Mining and quarrying,2.987668843590335e+18
"AUT Manufacture of food products, beverages and tobacco products",7.98999359725204e+17
"AUT Manufacture of textiles, wearing apparel and leather products",1.1450681327827678e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.0323859261285024e+17
AUT Manufacture of paper and paper products,3.3912194974609664e+17
AUT Printing and reproduction of recorded media,4.574136022438616e+17
AUT Manufacture of coke and refined petroleum products ,1.139681715078157e+18
AUT Manufacture of chemicals and chemical products ,6.980026121863045e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.2548578857754194e+17
AUT Manufacture of rubber and plastic products,5.0148553962136486e+17
AUT Manufacture of other non-metallic mineral products,4.6556257564214086e+17
AUT Manufacture of basic metals,1.1346514857628065e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",8.146052417650189e+17
"AUT Manufacture of computer, electronic and optical products",1.609668602897901e+17
AUT Manufacture of electrical equipment,1.583272359503552e+17
AUT Manufacture of machinery and equipment n.e.c.,2.8555168342059632e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4.1982955447286016e+17
AUT Manufacture of other transport equipment,2.752686267947237e+17
AUT Manufacture of furniture; other manufacturing,1.2680378744168915e+17
"AUT Electricity, gas, steam and air conditioning supply",1.3425939484143012e+18
"AUT Water collection, treatment and supply",4.3132966066683514e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",9.279131383713845e+16
AUT Construction,3.609552182231761e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,6.04119773450051e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.2430763798056433e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.844211324934948e+17
AUT Land transport and transport via pipelines,1.1286784473626548e+18
AUT Water transport,3.5986699268522323e+17
AUT Air transport,1.3643599276155901e+18
AUT Warehousing and support activities for transportation,1.786092316885248e+18
AUT Postal and courier activities,7.521719143203849e+17
AUT Accommodation and food service activities,6.307201564317386e+17
AUT Publishing activities,5.058195139769743e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",9.188504405217545e+17
AUT Telecommunications,1.7490799501508823e+18
"AUT Computer programming, consultancy and related activities; information service activities",1.9771729343894372e+18
"AUT Financial service activities, except insurance and pension funding",3.984421811253465e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",5.791789231498463e+17
AUT Activities auxiliary to financial services and insurance activities,5.901741664195343e+18
AUT Real estate activities,3.2670938125570657e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.558330506470456e+18
AUT Administrative and support service activities,4.722420926402311e+18
AUT Public administration and defence; compulsory social security,8.678227965473558e+17
AUT Education,3.6854787307088026e+17
AUT Human health and social work activities,6.356047556403105e+16
AUT Other service activities,1.2764609008302728e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,8.923444115857243e+16
