Unnamed: 0,Total Output Scenario 1
"AUT Crop and animal production, hunting and related service activities",7.657326544710378e+17
AUT Forestry and logging,9.330366791950245e+16
AUT Fishing and aquaculture,2.516353787542748e+16
AUT Mining and quarrying,1.260103998706736e+18
"AUT Manufacture of food products, beverages and tobacco products",5.940662447783967e+17
"AUT Manufacture of textiles, wearing apparel and leather products",4.601264758533054e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.6817685250823578e+17
AUT Manufacture of paper and paper products,2.1096415738310886e+17
AUT Printing and reproduction of recorded media,3.499046775293499e+17
AUT Manufacture of coke and refined petroleum products ,6.61978397078923e+17
AUT Manufacture of chemicals and chemical products ,3.071110142846695e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.0352915163473381e+17
AUT Manufacture of rubber and plastic products,2.1849660115924893e+17
AUT Manufacture of other non-metallic mineral products,3.5292380255773414e+17
AUT Manufacture of basic metals,5.2664695436435456e+17
"AUT Manufacture of fabricated metal products, except machinery and equipment",5.48663695120732e+17
"AUT Manufacture of computer, electronic and optical products",1.1191707454105755e+17
AUT Manufacture of electrical equipment,1.3924008614788117e+17
AUT Manufacture of machinery and equipment n.e.c.,3.1933658993492736e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",1.637713524039085e+17
AUT Manufacture of other transport equipment,2.2808392123107965e+17
AUT Manufacture of furniture; other manufacturing,7.511470292395712e+16
"AUT Electricity, gas, steam and air conditioning supply",1.785076018110953e+18
"AUT Water collection, treatment and supply",3.4924541997072525e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.6543172639583133e+17
AUT Construction,3.9740563852045343e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,3.2763328929095597e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",1.8590849232834017e+18
"AUT Retail trade, except of motor vehicles and motorcycles",6.222630051641659e+17
AUT Land transport and transport via pipelines,9.054152577606204e+17
AUT Water transport,1.7756596776605984e+17
AUT Air transport,1.2205499442709043e+18
AUT Warehousing and support activities for transportation,1.3240384270573353e+18
AUT Postal and courier activities,4.890815803352728e+17
AUT Accommodation and food service activities,5.3412317256273984e+17
AUT Publishing activities,3.4819193034825696e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",5.747690614264581e+17
AUT Telecommunications,1.977614596588343e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.478902771048987e+18
"AUT Financial service activities, except insurance and pension funding",4.948984351459544e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",6.829369700392211e+17
AUT Activities auxiliary to financial services and insurance activities,1.5225852011922243e+18
AUT Real estate activities,3.155912874888636e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.421262807712994e+18
AUT Administrative and support service activities,4.1841586633039247e+18
AUT Public administration and defence; compulsory social security,7.855487570577559e+17
AUT Education,2.5633631443747904e+17
AUT Human health and social work activities,7.857137042781762e+16
AUT Other service activities,1.1666771111646292e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3.689593131268637e+16
