Unnamed: 0,Total Output Scenario 1
"AUT Crop and animal production, hunting and related service activities",1.2859971304334953e+18
AUT Forestry and logging,1.8998160828488573e+17
AUT Fishing and aquaculture,4.491974421466262e+16
AUT Mining and quarrying,3.3790120764952064e+18
"AUT Manufacture of food products, beverages and tobacco products",1.0918550498981324e+18
"AUT Manufacture of textiles, wearing apparel and leather products",2.96175091995807e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.316851195623493e+17
AUT Manufacture of paper and paper products,4.610848722202202e+17
AUT Printing and reproduction of recorded media,5.963129443333697e+17
AUT Manufacture of coke and refined petroleum products ,1.7563598059374188e+18
AUT Manufacture of chemicals and chemical products ,1.0864060193726062e+18
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.894565325011731e+17
AUT Manufacture of rubber and plastic products,7.343574588723663e+17
AUT Manufacture of other non-metallic mineral products,5.943455350706331e+17
AUT Manufacture of basic metals,2.0101760046711683e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",1.1014116568300449e+18
"AUT Manufacture of computer, electronic and optical products",2.449069588948078e+17
AUT Manufacture of electrical equipment,1.9739726814152032e+17
AUT Manufacture of machinery and equipment n.e.c.,3.814382442149819e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",5.552017863697803e+17
AUT Manufacture of other transport equipment,3.523074444860543e+17
AUT Manufacture of furniture; other manufacturing,1.776388779309363e+17
"AUT Electricity, gas, steam and air conditioning supply",1.6303906636325128e+18
"AUT Water collection, treatment and supply",5.877938686817773e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",8.733628262920216e+16
AUT Construction,4.0429780818252344e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,8.276462900045528e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",3.0045889168204027e+18
"AUT Retail trade, except of motor vehicles and motorcycles",9.209588912297981e+17
AUT Land transport and transport via pipelines,1.3815462632357266e+18
AUT Water transport,5.121400767106643e+17
AUT Air transport,1.603434195880786e+18
AUT Warehousing and support activities for transportation,2.241407565763703e+18
AUT Postal and courier activities,8.932952960100845e+17
AUT Accommodation and food service activities,7.885130972049802e+17
AUT Publishing activities,6.49920026159708e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.17147461600219e+18
AUT Telecommunications,1.9323460875215268e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.1216485009029307e+18
"AUT Financial service activities, except insurance and pension funding",3.8120780249764147e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",5.437932627612347e+17
AUT Activities auxiliary to financial services and insurance activities,9.261837916919523e+18
AUT Real estate activities,3.958948611161676e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,7.207221722999941e+18
AUT Administrative and support service activities,5.74864315121735e+18
AUT Public administration and defence; compulsory social security,1.1574210685684605e+18
AUT Education,4.72608057555442e+17
AUT Human health and social work activities,6.6565723672746024e+16
AUT Other service activities,1.6112662015539328e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.2677828759720142e+17
