Unnamed: 0,Total Output Scenario 1
"AUT Crop and animal production, hunting and related service activities",1.1513109895214953e+18
AUT Forestry and logging,1.8161447236628432e+17
AUT Fishing and aquaculture,4.3563499334305384e+16
AUT Mining and quarrying,2.8117687213074545e+18
"AUT Manufacture of food products, beverages and tobacco products",1.0696720305758195e+18
"AUT Manufacture of textiles, wearing apparel and leather products",2.5416118324311763e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.380007448984556e+17
AUT Manufacture of paper and paper products,4.517577358187766e+17
AUT Printing and reproduction of recorded media,6.008685280718614e+17
AUT Manufacture of coke and refined petroleum products ,1.7821597953447898e+18
AUT Manufacture of chemicals and chemical products ,1.0594793206202158e+18
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.861972113181107e+17
AUT Manufacture of rubber and plastic products,7.422586749967361e+17
AUT Manufacture of other non-metallic mineral products,6.234339000973507e+17
AUT Manufacture of basic metals,2.126388555393237e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",1.1413175887734569e+18
"AUT Manufacture of computer, electronic and optical products",2.4547141475746813e+17
AUT Manufacture of electrical equipment,2.192209684908253e+17
AUT Manufacture of machinery and equipment n.e.c.,4.07450954081284e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",5.622796091776146e+17
AUT Manufacture of other transport equipment,3.667955410320484e+17
AUT Manufacture of furniture; other manufacturing,1.7965445684754294e+17
"AUT Electricity, gas, steam and air conditioning supply",1.6583000132920525e+18
"AUT Water collection, treatment and supply",5.836497201980812e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",9.000570017556888e+16
AUT Construction,4.111053515317217e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,8.260734035024186e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",3.076974582018572e+18
"AUT Retail trade, except of motor vehicles and motorcycles",9.162229382041402e+17
AUT Land transport and transport via pipelines,1.3496289777135137e+18
AUT Water transport,5.027043720280031e+17
AUT Air transport,1.5859615754290647e+18
AUT Warehousing and support activities for transportation,2.2036389776401398e+18
AUT Postal and courier activities,8.764018031399309e+17
AUT Accommodation and food service activities,7.683460080331488e+17
AUT Publishing activities,6.760255566084303e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.23646888485879e+18
AUT Telecommunications,1.9884057452602885e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.2434041709692928e+18
"AUT Financial service activities, except insurance and pension funding",3.5461039091637356e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.979382523595667e+17
AUT Activities auxiliary to financial services and insurance activities,8.509740639461303e+18
AUT Real estate activities,3.8744002307571185e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.908052409410037e+18
AUT Administrative and support service activities,5.652549501901616e+18
AUT Public administration and defence; compulsory social security,1.1111797271327782e+18
AUT Education,4.369244483640267e+17
AUT Human health and social work activities,5.975408041866109e+16
AUT Other service activities,1.6276531104183805e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.283848671731872e+17
