Unnamed: 0,Total Output Scenario 1
"AUT Crop and animal production, hunting and related service activities",8.403425452932724e+17
AUT Forestry and logging,1.3093093533489658e+17
AUT Fishing and aquaculture,2.981952486695038e+16
AUT Mining and quarrying,3.1102609205509857e+18
"AUT Manufacture of food products, beverages and tobacco products",9.154424652326072e+17
"AUT Manufacture of textiles, wearing apparel and leather products",2.5979354661093142e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.6471225393515635e+17
AUT Manufacture of paper and paper products,3.869906892624772e+17
AUT Printing and reproduction of recorded media,5.089307704485842e+17
AUT Manufacture of coke and refined petroleum products ,1.4708570107029512e+18
AUT Manufacture of chemicals and chemical products ,8.927223270591852e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.455782080766475e+17
AUT Manufacture of rubber and plastic products,6.149730145028722e+17
AUT Manufacture of other non-metallic mineral products,4.971365319292497e+17
AUT Manufacture of basic metals,1.2539931040928082e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",9.331010481712282e+17
"AUT Manufacture of computer, electronic and optical products",2.0771576140703875e+17
AUT Manufacture of electrical equipment,1.6582121869078794e+17
AUT Manufacture of machinery and equipment n.e.c.,3.3119036481313517e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4.807901862634502e+17
AUT Manufacture of other transport equipment,3.1999958689970963e+17
AUT Manufacture of furniture; other manufacturing,1.5053304150852336e+17
"AUT Electricity, gas, steam and air conditioning supply",1.348448258112217e+18
"AUT Water collection, treatment and supply",5.064352345928013e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",7.472398291832256e+16
AUT Construction,3.866739988810369e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7.274166471527363e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.58697838764084e+18
"AUT Retail trade, except of motor vehicles and motorcycles",8.30480169571264e+17
AUT Land transport and transport via pipelines,1.3134295622316956e+18
AUT Water transport,4.968613424895338e+17
AUT Air transport,1.57464359234974e+18
AUT Warehousing and support activities for transportation,2.1846443446263585e+18
AUT Postal and courier activities,8.768545722735881e+17
AUT Accommodation and food service activities,6.725269620887145e+17
AUT Publishing activities,5.7597060531064595e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.0414025578907442e+18
AUT Telecommunications,1.7136754123298706e+18
"AUT Computer programming, consultancy and related activities; information service activities",1.8920734031837327e+18
"AUT Financial service activities, except insurance and pension funding",3.5870589384289664e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",5.08881982318005e+17
AUT Activities auxiliary to financial services and insurance activities,8.770346726328598e+18
AUT Real estate activities,3.681643815901517e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.852956724906085e+18
AUT Administrative and support service activities,5.525072181344306e+18
AUT Public administration and defence; compulsory social security,9.924649572068202e+17
AUT Education,4.099266974678462e+17
AUT Human health and social work activities,5.9496747734864584e+16
AUT Other service activities,1.3860780282099356e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.1130825696458197e+17
