Unnamed: 0,Total Output Scenario 1
"AUT Crop and animal production, hunting and related service activities",7.095397980236411e+17
AUT Forestry and logging,1.020104755204838e+17
AUT Fishing and aquaculture,2.612445746260331e+16
AUT Mining and quarrying,1.916787257173671e+18
"AUT Manufacture of food products, beverages and tobacco products",6.327731017291892e+17
"AUT Manufacture of textiles, wearing apparel and leather products",4.7719044648838984e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.9397093947995686e+17
AUT Manufacture of paper and paper products,2.31356497203678e+17
AUT Printing and reproduction of recorded media,3.941477873287767e+17
AUT Manufacture of coke and refined petroleum products ,7.253391364199689e+17
AUT Manufacture of chemicals and chemical products ,3.196690094348562e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.1175338685547971e+17
AUT Manufacture of rubber and plastic products,2.3015522816835165e+17
AUT Manufacture of other non-metallic mineral products,3.750348804294921e+17
AUT Manufacture of basic metals,5.5944026936480314e+17
"AUT Manufacture of fabricated metal products, except machinery and equipment",5.907966195010973e+17
"AUT Manufacture of computer, electronic and optical products",1.2186697461608478e+17
AUT Manufacture of electrical equipment,1.508875739954992e+17
AUT Manufacture of machinery and equipment n.e.c.,3.4658640720981306e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",1.7455748783200947e+17
AUT Manufacture of other transport equipment,2.4898382126443312e+17
AUT Manufacture of furniture; other manufacturing,7.714845543093189e+16
"AUT Electricity, gas, steam and air conditioning supply",2.1992355469342587e+18
"AUT Water collection, treatment and supply",4.265735238593002e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",2.0307266815075286e+17
AUT Construction,3.859612750532328e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,3.6418392267035603e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.0195417379372887e+18
"AUT Retail trade, except of motor vehicles and motorcycles",6.786509644880388e+17
AUT Land transport and transport via pipelines,1.00846968716679e+18
AUT Water transport,1.9159989180071443e+17
AUT Air transport,1.3423060421604155e+18
AUT Warehousing and support activities for transportation,1.4490514307606385e+18
AUT Postal and courier activities,5.3974036234731245e+17
AUT Accommodation and food service activities,5.21762047516457e+17
AUT Publishing activities,4.006730744221063e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",6.532762873725633e+17
AUT Telecommunications,2.238978960326785e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.755854687786048e+18
"AUT Financial service activities, except insurance and pension funding",5.332112512518543e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",7.340253069585239e+17
AUT Activities auxiliary to financial services and insurance activities,1.642275757990973e+18
AUT Real estate activities,3.34998752260795e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.119689408832902e+18
AUT Administrative and support service activities,4.5659777744729185e+18
AUT Public administration and defence; compulsory social security,8.398132138938913e+17
AUT Education,2.6945984746667904e+17
AUT Human health and social work activities,7.993529768399469e+16
AUT Other service activities,1.236678824644195e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3.869632913532803e+16
