Unnamed: 0,Total Output Scenario 1
"AUT Crop and animal production, hunting and related service activities",7.862644440481907e+17
AUT Forestry and logging,9.332538330177717e+16
AUT Fishing and aquaculture,2.54302773539859e+16
AUT Mining and quarrying,2.855945642310916e+18
"AUT Manufacture of food products, beverages and tobacco products",7.028403763316489e+17
"AUT Manufacture of textiles, wearing apparel and leather products",8.938821219805997e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.3194963404100858e+17
AUT Manufacture of paper and paper products,2.7153108151532314e+17
AUT Printing and reproduction of recorded media,4.295313895566357e+17
AUT Manufacture of coke and refined petroleum products ,8.58661807839044e+17
AUT Manufacture of chemicals and chemical products ,5.1591302042298797e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.3145132567999982e+17
AUT Manufacture of rubber and plastic products,3.7071503192014515e+17
AUT Manufacture of other non-metallic mineral products,4.007698253132538e+17
AUT Manufacture of basic metals,9.717064571071662e+17
"AUT Manufacture of fabricated metal products, except machinery and equipment",6.865031057252484e+17
"AUT Manufacture of computer, electronic and optical products",1.4171301212491102e+17
AUT Manufacture of electrical equipment,1.4641827532932858e+17
AUT Manufacture of machinery and equipment n.e.c.,2.793745159177461e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4.271447882431407e+17
AUT Manufacture of other transport equipment,2.686622883626572e+17
AUT Manufacture of furniture; other manufacturing,1.1176609834754474e+17
"AUT Electricity, gas, steam and air conditioning supply",1.6918956278070984e+18
"AUT Water collection, treatment and supply",4.166505338882239e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.50147910695523e+17
AUT Construction,3.9015630439785267e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,4.924045601928057e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.1768225004149274e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.922094800337288e+17
AUT Land transport and transport via pipelines,1.0892865070596343e+18
AUT Water transport,2.6702955420071565e+17
AUT Air transport,1.300311655258461e+18
AUT Warehousing and support activities for transportation,1.6026891214180293e+18
AUT Postal and courier activities,6.439194511866204e+17
AUT Accommodation and food service activities,6.020236503490678e+17
AUT Publishing activities,4.678321357198443e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",8.193498838918726e+17
AUT Telecommunications,2.0247405520360008e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.453954625620645e+18
"AUT Financial service activities, except insurance and pension funding",4.55030319437689e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",6.013553176753581e+17
AUT Activities auxiliary to financial services and insurance activities,3.081217669091637e+18
AUT Real estate activities,3.104937021337027e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.35976278739852e+18
AUT Administrative and support service activities,4.861245198989179e+18
AUT Public administration and defence; compulsory social security,9.215502293387607e+17
AUT Education,3.260622801344445e+17
AUT Human health and social work activities,7.931106784215093e+16
AUT Other service activities,1.2448720778734996e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,6.168000920257527e+16
