Unnamed: 0,Total Output Scenario 1
"AUT Crop and animal production, hunting and related service activities",1.4819665040402163e+18
AUT Forestry and logging,1.9737090275133578e+17
AUT Fishing and aquaculture,4.73534173307772e+16
AUT Mining and quarrying,2.0200900225955988e+18
"AUT Manufacture of food products, beverages and tobacco products",1.2193895820538934e+18
"AUT Manufacture of textiles, wearing apparel and leather products",2.3781803191472576e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.742731356440085e+17
AUT Manufacture of paper and paper products,4.901406158255363e+17
AUT Printing and reproduction of recorded media,6.304172409423994e+17
AUT Manufacture of coke and refined petroleum products ,1.8100892492244298e+18
AUT Manufacture of chemicals and chemical products ,1.1453850433359748e+18
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.944625110498147e+17
AUT Manufacture of rubber and plastic products,7.951624206774433e+17
AUT Manufacture of other non-metallic mineral products,6.706897275504175e+17
AUT Manufacture of basic metals,2.4357539883443686e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",1.210769704227762e+18
"AUT Manufacture of computer, electronic and optical products",2.613165941491256e+17
AUT Manufacture of electrical equipment,2.3528822534346317e+17
AUT Manufacture of machinery and equipment n.e.c.,4.0777783248909114e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",5.890775267104141e+17
AUT Manufacture of other transport equipment,4.596649731210799e+17
AUT Manufacture of furniture; other manufacturing,1.8637166565517216e+17
"AUT Electricity, gas, steam and air conditioning supply",1.6886138888835707e+18
"AUT Water collection, treatment and supply",5.887352269995969e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",9.010498773464555e+16
AUT Construction,3.97106102221858e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,8.459947319225746e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",3.203145572061684e+18
"AUT Retail trade, except of motor vehicles and motorcycles",9.470541252198899e+17
AUT Land transport and transport via pipelines,1.3286293743129928e+18
AUT Water transport,4.6561244916796064e+17
AUT Air transport,1.5211410535384061e+18
AUT Warehousing and support activities for transportation,2.1184541551041203e+18
AUT Postal and courier activities,8.352038349682019e+17
AUT Accommodation and food service activities,8.103854599116042e+17
AUT Publishing activities,6.86209400560563e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.2316328413034296e+18
AUT Telecommunications,1.9958427040866583e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.2605309091357404e+18
"AUT Financial service activities, except insurance and pension funding",3.4403971424014013e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.8393114655403584e+17
AUT Activities auxiliary to financial services and insurance activities,8.230846940440933e+18
AUT Real estate activities,3.773047181824871e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.717873062787353e+18
AUT Administrative and support service activities,5.57703754388879e+18
AUT Public administration and defence; compulsory social security,1.1612019817813747e+18
AUT Education,4.4063724557634835e+17
AUT Human health and social work activities,6.181845251188769e+16
AUT Other service activities,1.6460925372874688e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.3061777607346462e+17
