Unnamed: 0,Total Output Scenario 1
"AUT Crop and animal production, hunting and related service activities",6.301391083098862e+17
AUT Forestry and logging,7.874090536674952e+16
AUT Fishing and aquaculture,2.13032842571844e+16
AUT Mining and quarrying,2.2495545492556892e+18
"AUT Manufacture of food products, beverages and tobacco products",5.70838572701139e+17
"AUT Manufacture of textiles, wearing apparel and leather products",6.630078995261214e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.8829023026381245e+17
AUT Manufacture of paper and paper products,2.33707680966828e+17
AUT Printing and reproduction of recorded media,4.121670810286357e+17
AUT Manufacture of coke and refined petroleum products ,6.574531258961921e+17
AUT Manufacture of chemicals and chemical products ,3.7882193847829875e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.1904550609782728e+17
AUT Manufacture of rubber and plastic products,2.7321983300042352e+17
AUT Manufacture of other non-metallic mineral products,3.7901032456101165e+17
AUT Manufacture of basic metals,7.44094924772647e+17
"AUT Manufacture of fabricated metal products, except machinery and equipment",5.956451124737591e+17
"AUT Manufacture of computer, electronic and optical products",1.208983410418346e+17
AUT Manufacture of electrical equipment,1.390590932679891e+17
AUT Manufacture of machinery and equipment n.e.c.,3.164861901298875e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",3.571210539529205e+17
AUT Manufacture of other transport equipment,2.6036757221060918e+17
AUT Manufacture of furniture; other manufacturing,9.214324862253547e+16
"AUT Electricity, gas, steam and air conditioning supply",2.338856442288042e+18
"AUT Water collection, treatment and supply",4.294168047803303e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",2.191669968876261e+17
AUT Construction,3.730545650844942e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,3.8370611903429414e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",1.9957441712437386e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.976739746577944e+17
AUT Land transport and transport via pipelines,1.043716890901083e+18
AUT Water transport,2.1072747230000746e+17
AUT Air transport,1.3440337744931313e+18
AUT Warehousing and support activities for transportation,1.5192914618555487e+18
AUT Postal and courier activities,5.584105943422511e+17
AUT Accommodation and food service activities,5.136486263720646e+17
AUT Publishing activities,4.3028962648698874e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",7.054524852311795e+17
AUT Telecommunications,2.2613816573625293e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.9397518902150277e+18
"AUT Financial service activities, except insurance and pension funding",5.560542013090144e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",6.310394006692403e+17
AUT Activities auxiliary to financial services and insurance activities,1.601423942934881e+18
AUT Real estate activities,3.3291711720661007e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.123925654499638e+18
AUT Administrative and support service activities,4.889045397215941e+18
AUT Public administration and defence; compulsory social security,9.009408599381623e+17
AUT Education,2.8041403383660422e+17
AUT Human health and social work activities,7.980816107341915e+16
AUT Other service activities,1.2245414958977208e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3.822898626579837e+16
