Unnamed: 0,Total Output Scenario 1
"AUT Crop and animal production, hunting and related service activities",1.0725468842994751e+18
AUT Forestry and logging,1.8498141545787414e+17
AUT Fishing and aquaculture,3.6521768543978136e+16
AUT Mining and quarrying,2.291395445291656e+18
"AUT Manufacture of food products, beverages and tobacco products",1.0794856208880797e+18
"AUT Manufacture of textiles, wearing apparel and leather products",1.1623225857336544e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.590616554087656e+17
AUT Manufacture of paper and paper products,4.5549793877958637e+17
AUT Printing and reproduction of recorded media,5.965939950712813e+17
AUT Manufacture of coke and refined petroleum products ,1.7138810160158828e+18
AUT Manufacture of chemicals and chemical products ,1.0840223916430464e+18
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.8092832267453306e+17
AUT Manufacture of rubber and plastic products,7.542779008000012e+17
AUT Manufacture of other non-metallic mineral products,6.566183415522268e+17
AUT Manufacture of basic metals,2.2036793130896425e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",1.1701077227888878e+18
"AUT Manufacture of computer, electronic and optical products",2.5075030872980163e+17
AUT Manufacture of electrical equipment,2.138521100648103e+17
AUT Manufacture of machinery and equipment n.e.c.,3.9563886665625005e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",5.3505481581848774e+17
AUT Manufacture of other transport equipment,4.123821387303424e+17
AUT Manufacture of furniture; other manufacturing,1.7382180940258346e+17
"AUT Electricity, gas, steam and air conditioning supply",1.610739307443272e+18
"AUT Water collection, treatment and supply",5.581709284729729e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",8.660067604821664e+16
AUT Construction,3.5177743511849585e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7.982178885238874e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",3.021772516120719e+18
"AUT Retail trade, except of motor vehicles and motorcycles",8.783889558863165e+17
AUT Land transport and transport via pipelines,1.1932836448223898e+18
AUT Water transport,4.439716815738765e+17
AUT Air transport,1.4306178152401377e+18
AUT Warehousing and support activities for transportation,1.9467243347254405e+18
AUT Postal and courier activities,7.892487208389203e+17
AUT Accommodation and food service activities,7.312160560205766e+17
AUT Publishing activities,6.6477686945522e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.1975552260244797e+18
AUT Telecommunications,1.886841283818865e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.1666785566220114e+18
"AUT Financial service activities, except insurance and pension funding",3.3135876120757606e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.598371304743049e+17
AUT Activities auxiliary to financial services and insurance activities,8.02301808544863e+18
AUT Real estate activities,3.940128367096479e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.315926371523493e+18
AUT Administrative and support service activities,5.300094228912765e+18
AUT Public administration and defence; compulsory social security,1.049890343261589e+18
AUT Education,4.2166218675939757e+17
AUT Human health and social work activities,5.50948601360624e+16
AUT Other service activities,1.5399182974250204e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.212608303814524e+17
