Unnamed: 0,Total Output Scenario 1
"AUT Crop and animal production, hunting and related service activities",7.081838270044287e+17
AUT Forestry and logging,8.138905333251574e+16
AUT Fishing and aquaculture,2.4206820881649892e+16
AUT Mining and quarrying,2.5182343284644823e+18
"AUT Manufacture of food products, beverages and tobacco products",6.97139503295887e+17
"AUT Manufacture of textiles, wearing apparel and leather products",8.091673435353682e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.0793927115218794e+17
AUT Manufacture of paper and paper products,2.574929466445887e+17
AUT Printing and reproduction of recorded media,4.3453186927744685e+17
AUT Manufacture of coke and refined petroleum products ,7.782661969099309e+17
AUT Manufacture of chemicals and chemical products ,4.500651272855592e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.3802362578520216e+17
AUT Manufacture of rubber and plastic products,3.21774407833552e+17
AUT Manufacture of other non-metallic mineral products,3.824386267172856e+17
AUT Manufacture of basic metals,8.329828922198104e+17
"AUT Manufacture of fabricated metal products, except machinery and equipment",6.414709184169066e+17
"AUT Manufacture of computer, electronic and optical products",1.365617429800306e+17
AUT Manufacture of electrical equipment,1.4755107519045197e+17
AUT Manufacture of machinery and equipment n.e.c.,3.0771007367561715e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",3.6718445394463136e+17
AUT Manufacture of other transport equipment,2.6245428200987686e+17
AUT Manufacture of furniture; other manufacturing,1.0256144053154282e+17
"AUT Electricity, gas, steam and air conditioning supply",2.000962002004687e+18
"AUT Water collection, treatment and supply",4.2470691096794925e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.816778205857099e+17
AUT Construction,3.870003913628197e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,4.4920821663720896e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.138735767064798e+18
"AUT Retail trade, except of motor vehicles and motorcycles",8.328459708804191e+17
AUT Land transport and transport via pipelines,1.1146945775253393e+18
AUT Water transport,2.636815384847403e+17
AUT Air transport,1.337938717065124e+18
AUT Warehousing and support activities for transportation,1.5951768075703368e+18
AUT Postal and courier activities,6.167594475591875e+17
AUT Accommodation and food service activities,6.025599468918508e+17
AUT Publishing activities,4.527861122671779e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",7.685544881690829e+17
AUT Telecommunications,2.1575407024362988e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.6494863079916237e+18
"AUT Financial service activities, except insurance and pension funding",4.977755144455812e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",6.192316621263283e+17
AUT Activities auxiliary to financial services and insurance activities,2.2543398732573384e+18
AUT Real estate activities,3.3944804975619686e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.307303364117504e+18
AUT Administrative and support service activities,4.872547400209086e+18
AUT Public administration and defence; compulsory social security,9.110061536624461e+17
AUT Education,3.1864191940923456e+17
AUT Human health and social work activities,8.126646604250091e+16
AUT Other service activities,1.2699604551366843e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,5.3003830515242824e+16
