Unnamed: 0,Total Output Scenario 1
"AUT Crop and animal production, hunting and related service activities",1.0904293253097286e+18
AUT Forestry and logging,1.4384403184158872e+17
AUT Fishing and aquaculture,3.5911001578988684e+16
AUT Mining and quarrying,3.264647762556133e+18
"AUT Manufacture of food products, beverages and tobacco products",1.0155976860559441e+18
"AUT Manufacture of textiles, wearing apparel and leather products",2.840476665168383e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.7872108942434003e+17
AUT Manufacture of paper and paper products,4.2250010633792544e+17
AUT Printing and reproduction of recorded media,5.538348118226906e+17
AUT Manufacture of coke and refined petroleum products ,1.560524716732046e+18
AUT Manufacture of chemicals and chemical products ,9.311769425534527e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.5603365307345424e+17
AUT Manufacture of rubber and plastic products,6.540302122697144e+17
AUT Manufacture of other non-metallic mineral products,5.18174415133881e+17
AUT Manufacture of basic metals,1.1279107221239821e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",9.548455508721266e+17
"AUT Manufacture of computer, electronic and optical products",2.157584334208675e+17
AUT Manufacture of electrical equipment,1.6652204169095443e+17
AUT Manufacture of machinery and equipment n.e.c.,3.034760013981409e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",5.474930617006188e+17
AUT Manufacture of other transport equipment,3.3135411848554765e+17
AUT Manufacture of furniture; other manufacturing,1.6037797442968362e+17
"AUT Electricity, gas, steam and air conditioning supply",1.4141032800007572e+18
"AUT Water collection, treatment and supply",5.461002870880738e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",7.721458747312984e+16
AUT Construction,4.0165067632952535e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,8.088425150214139e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.8228518712706765e+18
"AUT Retail trade, except of motor vehicles and motorcycles",8.980042496208705e+17
AUT Land transport and transport via pipelines,1.4068314561528632e+18
AUT Water transport,5.262549130345372e+17
AUT Air transport,1.6990619638421652e+18
AUT Warehousing and support activities for transportation,2.340707090529922e+18
AUT Postal and courier activities,9.535403676966134e+17
AUT Accommodation and food service activities,7.295496281224666e+17
AUT Publishing activities,6.216205235859985e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.1405196247325545e+18
AUT Telecommunications,1.8703285161407657e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.0201096326293158e+18
"AUT Financial service activities, except insurance and pension funding",4.0738783235081385e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",5.834167482318714e+17
AUT Activities auxiliary to financial services and insurance activities,1.0063578784007092e+19
AUT Real estate activities,4.145491615831664e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,7.650540472434281e+18
AUT Administrative and support service activities,6.150937251110031e+18
AUT Public administration and defence; compulsory social security,9.811844057659621e+17
AUT Education,4.215822370621311e+17
AUT Human health and social work activities,6.520136692112938e+16
AUT Other service activities,1.5002832549263365e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.1870222741089805e+17
