Unnamed: 0,Total Output Scenario 1
"AUT Crop and animal production, hunting and related service activities",1.2297062465943552e+18
AUT Forestry and logging,2.0411017010003722e+17
AUT Fishing and aquaculture,3.864737700659141e+16
AUT Mining and quarrying,1.9098790226919936e+18
"AUT Manufacture of food products, beverages and tobacco products",9.619687053447418e+17
"AUT Manufacture of textiles, wearing apparel and leather products",8.257222663317133e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.278646152448377e+17
AUT Manufacture of paper and paper products,4.301641869301959e+17
AUT Printing and reproduction of recorded media,5.61519550749405e+17
AUT Manufacture of coke and refined petroleum products ,1.4661038461671135e+18
AUT Manufacture of chemicals and chemical products ,9.541616806611122e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.5067846108771485e+17
AUT Manufacture of rubber and plastic products,6.974461552669075e+17
AUT Manufacture of other non-metallic mineral products,6.217441905852749e+17
AUT Manufacture of basic metals,1.562482079369483e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",1.0819084872200984e+18
"AUT Manufacture of computer, electronic and optical products",2.121651085936595e+17
AUT Manufacture of electrical equipment,1.886944834862037e+17
AUT Manufacture of machinery and equipment n.e.c.,3.738305020901496e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4.469326068102824e+17
AUT Manufacture of other transport equipment,2.9361116175435456e+17
AUT Manufacture of furniture; other manufacturing,1.5750634771637453e+17
"AUT Electricity, gas, steam and air conditioning supply",1.386419290127995e+18
"AUT Water collection, treatment and supply",4.9934632985689837e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",7.84805313430836e+16
AUT Construction,2.782834814384929e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,6.755367557286684e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.521663916381776e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.859256254419412e+17
AUT Land transport and transport via pipelines,9.859988977926557e+17
AUT Water transport,3.84924979290087e+17
AUT Air transport,1.2932900162598633e+18
AUT Warehousing and support activities for transportation,1.7010893518393608e+18
AUT Postal and courier activities,7.293893862507032e+17
AUT Accommodation and food service activities,6.931715617694324e+17
AUT Publishing activities,6.301610688537997e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.1717002594668685e+18
AUT Telecommunications,1.7930301238858322e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.1626634353346683e+18
"AUT Financial service activities, except insurance and pension funding",3.187684883744745e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.48936813819144e+17
AUT Activities auxiliary to financial services and insurance activities,8.302286784998628e+18
AUT Real estate activities,3.2352446066218926e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.901986233233932e+18
AUT Administrative and support service activities,4.4764114077770383e+18
AUT Public administration and defence; compulsory social security,9.679177661673714e+17
AUT Education,3.6063422982693984e+17
AUT Human health and social work activities,4.601397731099189e+16
AUT Other service activities,1.4063509849180964e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.0564344428959326e+17
