Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,AUT Repair and installation of machinery and equipment,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Architectural and engineering activities; technical testing and analysis,AUT Scientific research and development,AUT Advertising and market research,"AUT Other professional, scientific and technical activities; veterinary activities",AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,AUT Activities of extraterritorial organizations and bodies
"AUT Crop and animal production, hunting and related service activities",0.3658520705536668,0.17042872292076955,0.2527934506029428,0.008925214683791684,0.46039132520941606,0.387566346103316,0.0008809365334168592,0.0007103411929149195,0.0004978774697342906,1.6070969400874257e-05,0.011506456621852975,0.021800815282551355,0.03586646862597093,0.0006217464981042826,0.0003035299407929251,0.0005204117034809761,0.00032327586206896557,0.00046098399128321186,0.0003912229971083517,0.00037361947603604685,0.0005127258557394533,0.0036476731684841036,0.0,0.00041992623393708747,0.0025890675710170293,0.00053071513864933,0.003579115791055455,0.0010765261614418024,0.007666133293902475,0.035186212663460344,0.0016951499127099098,0.0011325313333668899,0.0005496578994864389,0.0012324819497416268,0.0008916975206931979,0.03501466488032733,0.0005439660565180733,0.004519400352733687,0.0005323598752756864,0.0008819940906395926,0.00043162024256202935,0.00040397214795663544,0.0009206615841840033,0.0014214280275147853,0.0018488235777275,0.0,0.0,0.0,0.0,0.004326402282755159,0.003690444133474006,0.004466468383311604,0.00761214686965725,0.01710178098848437,0.07053422370617696,0.0
AUT Forestry and logging,0.0023495242920996535,0.30525677927586725,0.00022126341409447946,0.00028486489619821293,4.7615384897132454e-05,5.255136896316149e-05,0.2800986648917427,9.165692811805412e-05,0.0012839997903673812,2.4106454101311386e-05,0.021340694634301712,0.005914794980417234,0.006209062796756678,0.00013410218586562962,4.496739863598891e-05,8.260503229856763e-05,0.0001077586206896552,8.381527114240216e-05,5.1029086579350225e-05,0.0001046134532900931,8.203613691831253e-05,7.679311933650745e-05,0.0,4.1111659266568e-05,5.469861065528935e-05,0.0003980363539869975,6.830373647052396e-05,7.424318354771052e-05,0.00013026265528100648,0.00011833043642894519,0.00019247718132363518,0.00010066945185483466,0.0002707270251201863,0.00036302195610571553,0.00017446255839649526,0.00019218931483116588,0.00010879321130361466,7.348618459729571e-05,4.402976412054549e-05,0.00019599868680879835,0.00012393056469602823,0.00015791638511032113,0.00016151957617263214,9.854438005879812e-05,0.00018219424594729806,0.0,0.0,0.0,0.0,0.00024219045857662465,0.00011918898517200738,0.00018843709256844855,0.00023683879419448907,0.00021815320792504113,0.00020868113522537563,0.0
AUT Fishing and aquaculture,0.000540673662398836,0.0,0.02113065604602279,6.956003279258689e-05,0.005788931986916757,0.01203426349256398,5.872910222779061e-05,6.874269608854058e-05,7.861223206330904e-05,0.0,2.6543152530226012e-05,3.996483094876509e-05,7.30477976089021e-05,9.752886244773063e-05,3.372554897699168e-05,5.782352260899734e-05,0.0001077586206896552,4.190763557120108e-05,3.401939105290015e-05,7.472389520720937e-05,6.152710268873438e-05,0.046728613116264785,0.0,3.2302017995160575e-05,3.646574043685957e-05,0.000265357569324665,5.1227802352892964e-05,5.568238766078288e-05,0.0005298521518862561,0.011028396675177691,7.091264575081296e-05,7.550208889112598e-05,0.00020509623115165634,0.00028235041030444543,0.00011630837226433016,0.006874249695700252,8.159490847771099e-05,6.12384871644131e-05,2.8018940803983494e-05,0.00014699901510659876,9.401629045905591e-05,0.00012119164438699062,0.00011844768919326357,6.868244670764718e-05,0.00013888577764835017,0.0,0.0,0.0,0.0,0.0001739367838868486,0.00018761229147445604,0.00013750814863103,0.0001850303079644446,0.000582933981832487,0.00020868113522537563,0.0
AUT Mining and quarrying,0.0032808417524620467,0.001060445387062566,0.006527270715787144,0.07439611126292864,0.00607279293534197,0.003153082137789689,0.00581418112055127,0.011411287550697737,0.005607672553849378,0.8645860118282334,0.07308657049197732,0.004915674206698107,0.012125934403077748,0.07452424201787215,0.439260286292438,0.00892960399147516,0.0052801724137931045,0.005154639175257733,0.004184385099506719,0.004109814236396515,0.005434894070838204,0.010789433266779296,0.0,0.02931848615124392,0.005196368012252489,0.004378399893856973,0.01054140102916655,0.003192456892551552,0.02405634387932749,0.004307227886013605,0.00662189039606401,0.004479790607540142,0.005217648120498138,0.006807782115118296,0.011727760869986625,0.00534230588182864,0.004406125057796394,0.002559768763472467,0.003422313483915127,0.004066972751282566,0.001166656695241921,0.001193554073508241,0.005857776629194125,0.004049278162416068,0.0068561785503610286,0.0,0.0,0.0,0.0,0.004264753802390199,0.004877919578335857,0.003488632659713169,0.0044925358773767144,0.003669265431657249,0.0038606010016694493,0.0
"AUT Manufacture of food products, beverages and tobacco products",0.045031605347856975,0.0013634297833661564,0.047018475495076886,0.0033620682516416994,0.19873562839488534,0.13778968942140943,0.002251282252065307,0.004147475997341949,0.002856244431633562,0.0002330290563126767,0.032316288205550166,0.021700903205179443,0.006720397380018993,0.002584514854864861,0.0012440980289290266,0.00227163838821061,0.00625,0.006453775877964966,0.004235414186086069,0.0036166365280289334,0.0056194753789044075,0.011019812624788818,0.0,0.0006607230953555571,0.002880793494511906,0.010614302772986601,0.0019031128574099737,0.009354641127011525,0.021215209749279595,0.040369085779048144,0.0019078878499623486,0.0012332007852217245,0.0025760086632648036,0.0010352848377829667,0.004361563959912381,0.33192487347536775,0.0011695270215138576,0.002596511855771115,0.0007965384599989592,0.001327891103129609,0.004081161699472654,0.0012890383993889004,0.0015236680018951632,0.0007316173671031983,0.004111317697482882,0.0,0.0,0.0,0.0,0.004216315710674875,0.008912687446751218,0.021359599087353326,0.05684871181899596,0.041377583863815175,0.06740400667779632,0.0
"AUT Manufacture of textiles, wearing apparel and leather products",0.0012002389154822327,0.0007574609907589758,0.002987056090275473,0.0015303207214369117,0.0012251804806223698,0.034421146670870775,0.0013899220860577111,0.0016269104740954604,0.0032755096693045434,4.821290820262277e-05,0.0038089423880874325,0.0023779074414515228,0.005429886288928389,0.0026698526095066256,0.0008318968747657948,0.003155512233805284,0.0038793103448275866,0.0025144581342720646,0.003146793672393264,0.0035867469699460497,0.004860641112410017,0.013323606204884044,0.0,0.0004992130053797542,0.0008569449002661999,0.0017248242006103226,0.0013229579957634607,0.00328526087198619,0.0017057366617202064,0.0012884869744485142,0.0012933115867886362,0.00047817989631046456,0.00047582325627184267,0.0001927153594141453,0.001337546281039797,0.0010667899649324133,0.0003535779367367477,0.0009063296100333139,0.0004643138761802979,0.00024989832568121786,0.00014529790343672275,7.712195551899404e-05,0.00012383167506568464,0.00013288560341262172,0.0003718554691875182,0.0,0.0,0.0,0.0,0.0006318969237408298,0.0012183762928694088,0.0025006111473272496,0.006165209861375294,0.0025749231099349117,0.009390651085141904,0.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.0006510729966059281,0.00015149219815179516,0.001216948777519637,0.0005217002459444016,0.00019229290054611182,0.0015765410688948446,0.10716103519830861,0.042895442359249324,0.0004454693150254179,4.017742350218564e-05,0.00039814728795339014,0.00023978898569259054,0.0026540699797901095,0.0024747948846111645,0.0009105898223787754,0.005575839680153316,0.0009698275862068966,0.0008800603469952226,0.002415376764755911,0.0015094226831856292,0.015340757603724442,0.1327753033328214,0.0,6.460403599032115e-05,0.0017321226707508294,0.0014594666312856576,0.026937712968915825,0.0008723574066855986,0.0009276813423390596,0.0007494260973833195,0.000749647969365737,0.00020133890370966932,0.00015587313567525882,0.00045265700699601566,0.0005427724039002074,0.00031474481994089485,0.00010879321130361466,0.00039192631785224383,6.804599909538848e-05,0.00014699901510659876,6.837548397022248e-05,6.243205922966184e-05,0.00010767971744842143,9.40650900561255e-05,0.00014485935948268782,0.0,0.0,0.0,0.0,0.00017613851532845428,0.0003045940732173522,0.004486839960886571,0.0005698933485304893,0.002288820542164366,0.00041736227045075126,0.0
AUT Manufacture of paper and paper products,0.0007841183480862699,0.0003029843963035903,0.0005531585352361987,0.0008430013497958744,0.01193864208247717,0.0040464554101634345,0.00287772600916174,0.13267340345088333,0.11359467533148157,4.821290820262277e-05,0.009290103385579103,0.023439373351450726,0.010884121843726413,0.010776939300474233,0.00039721202128456865,0.0023542434205091776,0.004525862068965518,0.00465174754840332,0.0033339003231842154,0.0021819377400505136,0.0016612317725958285,0.00330210413146982,0.0,0.0009015199567740268,0.0007475476789556211,0.0033169696165583126,0.0019112239261158484,0.0018189579969189078,0.011324049478685332,0.00988979492020584,0.0013574706472298482,0.0014597070518951023,0.0009106272663133541,0.00011204381361287518,0.0038963304708550606,0.003027678046688077,0.1082764435499225,0.006834215167548501,0.0006964708142704468,0.0009064939264906924,0.0010854608080272817,0.001263331080882569,0.0003984149545591593,0.000188130180112251,0.0008422750386416075,0.0,0.0,0.0,0.0,0.0016733158956203156,0.004624091183988064,0.005933221968709258,0.0067277019975872055,0.002764466061082898,0.008451585976627712,0.0
AUT Printing and reproduction of recorded media,0.001828665894814911,0.00015149219815179516,0.0009956853634251576,0.003959953295406554,0.0015969467550115191,0.002417362972305428,0.0018010258016522454,0.015306706995715036,0.10581206435721398,4.017742350218564e-05,0.002946289930855087,0.0047558148829030455,0.003628040614575471,0.003681714557401831,0.0013864947912763247,0.0042458986601463765,0.0037715517241379316,0.006328052971251362,0.0058683449566252766,0.00327290661007577,0.005701511515822721,0.0039932422054983875,0.0,0.001456527356872695,0.002042081464464136,0.00371500597054531,0.00244655446070358,0.0036564767897247427,0.007528829414011684,0.012398400172499479,0.0026913037458760917,0.002718075200080536,0.0023298931858828156,0.0027742048250547894,0.009072053036617752,0.001813264405146217,0.14589169635814725,0.04699441504997061,0.006124139918584964,0.007550849409308957,0.0021281869385731743,0.007917854099950055,0.008399017960976871,0.0024665956948050683,0.00929489333422937,0.0,0.0,0.0,0.0,0.005827983125930231,0.008533048456944083,0.011199274771838333,0.003456366152775825,0.007295615478148916,0.0077212020033388985,0.0
AUT Manufacture of coke and refined petroleum products ,0.02483701944443658,0.34843205574912883,0.129217833831176,0.03722289850031882,0.0019229290054611182,0.003468390351568658,0.0033279824595748016,0.00460576063793222,0.0034327341334311617,0.008091733093340188,0.06645078235942081,0.001838382223643194,0.03131315590834936,0.009179904177892644,0.025620175372854683,0.006938822713079681,0.002262931034482759,0.0018439359651328474,0.0019050858989624084,0.0024957780999207927,0.013535962591521566,0.0012670864690523728,0.0,0.003964338572133343,0.01365641979360391,0.05413294414223166,0.01312029397928177,0.012658462794884643,0.006043131021347232,0.00352361744032859,0.0772002336740517,0.07036794684652943,0.18039444107175084,0.004401080998713737,0.030802333921336772,0.0015291584614827544,0.004433323360622298,0.0020698608661571627,0.011539800905412059,0.00036259757059627697,0.002102546132084341,0.0008556864588536005,0.005453977688762545,0.0006061972470283643,0.003070421062849548,0.0,0.0,0.0,0.0,0.0024219045857662466,0.005619539930517236,0.0021950374837027384,0.004999518921199293,0.002828839138831271,0.008242904841402337,0.0
