Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,AUT Repair and installation of machinery and equipment,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Architectural and engineering activities; technical testing and analysis,AUT Scientific research and development,AUT Advertising and market research,"AUT Other professional, scientific and technical activities; veterinary activities",AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,AUT Activities of extraterritorial organizations and bodies
"AUT Crop and animal production, hunting and related service activities",0.35880475576000553,0.20431057327091245,0.10935987833540715,0.0015510156220851835,0.39197157357047757,0.10731580486853652,0.0005217051061887269,0.0004171135740674532,0.0004296707159876568,0.00016997579868390167,0.012264817312014384,0.0035988256463680268,0.0092762507814233,0.0005508598578092992,0.0002898471252257087,0.00035733601174379976,0.0005122748945895891,0.00022495500899820037,0.00024002793052282454,0.00031653229560392503,0.0003761944172748476,0.0015428776462145678,0.0,0.00043324307435950844,0.001967547047522048,0.00037009622501850485,0.0027111051580487695,0.0008118069198421847,0.006056341991951143,0.02381330369899984,0.0010428786287919635,0.0004966613321560621,0.0006027249512268625,0.00154455220179981,0.0009981285090455395,0.03386309932159463,0.00042160607112742425,0.012267897615037533,0.0012917096514117776,0.001084860173577628,0.0007166113629636553,0.0004700119976746775,0.00033881766188707894,0.004799548277809146,0.0014928753480983382,0.0,0.0,0.0,0.0,0.008329982191072558,0.0029990784288801324,0.005009612122582834,0.007719388081674454,0.015848731197451962,0.00544567395660887,0.0
AUT Forestry and logging,0.004609974487534353,0.04390071548449783,0.0015208074104797458,0.0002238579248370368,2.4809723206188098e-05,3.250024375182815e-05,0.2447883833663022,0.062447860803241564,0.001132768251240186,0.00020235214129035912,0.014306813073909973,0.008618240363670801,0.0050817721672145036,5.164311166962179e-05,0.00011750559130771973,3.8630920188518896e-05,7.881152224455216e-05,3.7492501499700064e-05,4.364144191324082e-05,6.516841380080808e-05,3.761944172748476e-05,0.008144958736993184,0.0,4.9989585503020205e-05,4.62952246475776e-05,0.0,0.0003837039618189381,6.494455358737477e-05,0.00013789998030000282,0.00013607602113714195,0.00023411561054513468,0.0,0.0001744730121972497,0.00020323055286839605,0.00012476606363069244,0.00011433798307797849,0.0001736024998759982,8.317218722059345e-05,0.0001300378843703132,0.00011049501767920285,7.010328550731411e-05,6.184368390456283e-05,8.131623885289893e-05,0.0002195871761089152,0.0001371658973680097,0.0,0.0,0.0,0.0,0.00023457995825434217,8.341807550527522e-05,7.91586565645143e-05,7.680983165845229e-05,0.00013213071204545295,0.00013069617495861286,0.0
AUT Fishing and aquaculture,0.0007535535220008078,0.0,0.01603760541960459,3.730965413950613e-05,0.01144003903396451,0.009685072638044787,4.347542551572725e-05,2.9793826719103803e-05,7.812194836139214e-05,3.237634260645746e-05,2.5685481281705518e-05,9.47059380623165e-05,4.033152513662305e-05,3.44287411130812e-05,1.1750559130771972e-05,2.8973190141389167e-05,3.940576112227608e-05,3.7492501499700064e-05,2.182072095662041e-05,4.654886700057721e-05,3.761944172748476e-05,0.00157875852170793,0.0,2.4994792751510102e-05,2.31476123237888e-05,0.0,4.934775361975844e-05,4.870841519053108e-05,0.00031801424028368,0.005488399519198058,2.128323732228497e-05,0.0,0.00011102828048915887,0.00011380910960630177,4.158868787689749e-05,0.020456970805701653,0.00012400178562571302,4.1586093610296724e-05,4.334596145677106e-05,8.036001285760206e-05,4.673552367154273e-05,1.2368736780912569e-05,5.421082590193263e-05,6.971021463775086e-05,9.569713769861143e-05,0.0,0.0,0.0,0.0,0.00010053426782328949,0.00015491928308122537,5.6541897546081646e-05,6.400819304871024e-05,0.0007927842722727178,8.713078330574193e-05,0.0
AUT Mining and quarrying,0.0012460721638314011,0.0003533256779436445,0.0005530208765380894,0.11448733870237024,0.002373463520058661,0.0015925119438395792,0.002065082711997044,0.004171135740674532,0.0018749267606734113,0.6746986976616187,0.03560007705644384,0.004830002841178141,0.0015930952428966103,0.0740734365047942,0.38600978429890287,0.0025303252723479874,0.002837214800803878,0.004386622675464907,0.004015012656018155,0.0018433351332228574,0.002219547061921601,0.0017222820236813781,0.0,0.0885565507186003,0.0033795513992731646,0.0007401924500370097,0.003005177485742024,0.001899628192430712,0.026814510455069933,0.003125212618783027,0.007527171599648118,0.000662215109541416,0.0010151157073294526,0.002048563972913432,0.0017467248908296944,0.002744111593871484,0.0014136203561331284,0.0021624768677354295,0.002661442033445743,0.003957730633236902,0.0002882023959745136,0.00022263726205642623,0.001572113951156046,0.002181929718161602,0.004934782400658396,0.0,0.0,0.0,0.0,0.002336224890369775,0.0021807868310664805,0.0016057898903087187,0.0031364014593868016,0.002343581576806192,0.0023089657576021608,0.0
"AUT Manufacture of food products, beverages and tobacco products",0.05664949418335485,0.00856814769013338,0.0872390432738836,0.0036403562538975267,0.21366409288760368,0.07959309694822712,0.002478099254396453,0.004051960433798117,0.0039060974180696066,0.0012222069333937692,0.02672574327361459,0.04541149730088077,0.010486196535521991,0.0024272262484722243,0.000857790816546354,0.0020667542300857604,0.005398589273751823,0.003074385122975405,0.00421139914462774,0.003975273241849294,0.0059438717929425925,0.006673842841765341,0.0,0.0013747136013330557,0.005578574570033101,0.02146558105107328,0.0019749172418029857,0.011154227078631618,0.015211212112683984,0.11943845961944072,0.0021992678566361136,0.0012140610341592629,0.0024902057195425632,0.002324957524814451,0.007236431690580161,0.318964860126534,0.0042656614255245275,0.008130081300813009,0.00732546748619431,0.007071681131468982,0.002944337991307192,0.00022263726205642623,0.0006776353237741579,0.0026245895811113197,0.005566383509469232,0.0,0.0,0.0,0.0,0.005519810038107275,0.01307280411846956,0.02211919032002714,0.031402419509697244,0.036106455628420624,0.028099677616101767,0.0
"AUT Manufacture of textiles, wearing apparel and leather products",0.0018863463982111723,0.005918205105556046,0.014240287570855801,0.0018548228057925903,0.002902737615124007,0.2584419383145374,0.0033910831902267246,0.006077940650697175,0.009882426467716105,0.00038042202562587517,0.004713285815192963,0.003646178615399185,0.013006916856560932,0.002823156771272658,0.0010928019991617935,0.00452947539210384,0.005201560468140442,0.0031118776244751056,0.003229466701579821,0.004990038542461877,0.009931532616055977,0.03214926444205239,0.0,0.0013997083940845657,0.0012036758408370176,0.020355292376017766,0.002273017957546832,0.004643535581497296,0.003982213716826612,0.0040369219604018776,0.00278100967677857,0.0012140610341592629,0.0019192031341697465,0.0022111484152081487,0.005572884175504263,0.006588726274868511,0.004340062496899956,0.0027654752250847324,0.00275680314865064,0.0026217454194792677,0.0002882023959745136,2.4737473561825137e-05,8.131623885289893e-05,0.0007772688932109221,0.0014641662067887548,0.0,0.0,0.0,0.0,0.0023266501981961283,0.005342729121647388,0.006185683591541332,0.019919349676758624,0.006717803570310924,0.020737126426766575,0.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.0016794885686423231,0.010864764596767069,0.019908751555371217,0.0020573609282641954,0.0013094020581043719,0.008872566544249083,0.17990131078407934,0.012215468954832559,0.006523182688176243,0.000752749965600136,0.0014255442111346561,0.0017994128231840134,0.006029563007925145,0.003098586700177308,0.0009047930530694419,0.019643822915861857,0.0027189975174370497,0.0021370725854829038,0.0037749847254953312,0.002150557655426667,0.03351892257918892,0.19006099748833877,0.0,0.0003832534888564882,0.005763755468623411,0.0022205773501110288,0.03305393105212432,0.001737266808462275,0.006213941969436862,0.008668042546435942,0.002291495218366015,0.000662215109541416,0.0006027249512268625,0.00541406192841407,0.003368683718028696,0.0017627105724521686,0.002628837855265116,0.004636849437548085,0.0029041794176036615,0.0010245901639344263,0.00011683880917885684,2.4737473561825137e-05,0.00010842165180386526,0.003401858474322242,0.000602891967501252,0.0,0.0,0.0,0.0,0.0016276976695199252,0.0034519194101944838,0.014486034151306117,0.0023298982269730523,0.004958378825705682,0.0018297464494205803,0.0
AUT Manufacture of paper and paper products,0.0021867827697278344,0.00044165709742955566,0.0006912760956726117,0.002004061422350615,0.019290938110767143,0.005687542656569925,0.004717083668456405,0.18224883804075798,0.13835397054802548,0.00028329299780650277,0.009426571630385926,0.028790605170944214,0.012744761943172882,0.012170559983474204,0.000661948164366821,0.0024820366221123386,0.005713835362730031,0.0038992201559688066,0.003229466701579821,0.0019271230938238963,0.002670980362651418,0.0044492285611768935,0.0,0.0021828785669652157,0.001041642554570496,0.006661732050333087,0.003196525918145169,0.0019483366076212432,0.009869698590043057,0.01010591250311841,0.002029001958057834,0.0013796148115446168,0.004092185195171856,0.0010486696528009235,0.006071948430027033,0.006574434026983764,0.06815138137989188,0.0018505811656582042,0.00483740929857565,0.00350570556091289,0.001277437647022168,2.4737473561825137e-05,0.00012197435827934842,0.0007354427644282717,0.0023413899690260267,0.0,0.0,0.0,0.0,0.00270485053905517,0.007277234015507818,0.014802668777564176,0.020649043077513925,0.0035675292252272295,0.00906160146379716,0.0
AUT Printing and reproduction of recorded media,0.0008520572503669264,0.0017666283897182227,0.001244296972210701,0.002531726530895059,0.0046780111423223554,0.006435048262861972,0.0026737386692172256,0.04275414134191395,0.03945158392250303,0.00024282256954843095,0.005419636550439864,0.007671180983047636,0.006775696222952671,0.005267597390301424,0.0009400447304617578,0.0036023333075793865,0.006029081451708241,0.005473905218956209,0.008641005498821682,0.004356973951254026,0.004213377473478293,0.004951560818083962,0.0,0.0031826702770256197,0.0020369898844934146,0.020355292376017766,0.002776566463870898,0.003961617768829861,0.020552725635324908,0.03864105413557707,0.0020644740202616424,0.0014347994040064015,0.0012530334512347932,0.000926731321079886,0.021917238511124974,0.008951711258480067,0.04250781211249442,0.021915871332626374,0.018118611888930304,0.0194873031179685,0.003933573242354847,0.00012368736780912567,0.00016263247770579786,0.0030149667830827245,0.007770607581127248,0.0,0.0,0.0,0.0,0.01129813676490301,0.022371933392652858,0.029786271627275807,0.010062087947257247,0.019235449974616996,0.0250501002004008,0.0
AUT Manufacture of coke and refined petroleum products ,0.03659413508801308,0.09645791007861496,0.12318540024885939,0.12192261977731468,0.003324502909629205,0.0031200234001755017,0.011129708932026175,0.010964128232630198,0.005351353462755361,0.05778367746687495,0.049778462723945295,0.005114120655365091,0.03319284518744076,0.01406414074469367,0.007109088274117043,0.0071080893146874755,0.0050045316625290616,0.005248950209958009,0.004647813563760148,0.004543169419256335,0.007298171695132043,0.004377466810190169,0.0,0.014230368673193087,0.05474410314576051,0.2605477424130274,0.01024519790966944,0.023834651166566544,0.005155770692032758,0.0030435670061007415,0.2205298107210761,0.1044092489376966,0.22595841197836533,0.010722443969336574,0.09748388438344771,0.0036349950453540662,0.0032488467833936808,0.0031605431143825508,0.027333963294639833,0.003576020572163292,0.0004206197130438847,7.42124206854754e-05,0.00017618518418128105,0.0015231681898348565,0.0028996232722679266,0.0,0.0,0.0,0.0,0.004212864556404512,0.01646116689970764,0.003980549587244148,0.01237918453562056,0.006133646738109975,0.011936917312886642,0.0
