Unnamed: 0,Total Output Scenario 2
"AUT Crop and animal production, hunting and related service activities",6.873497283473402e+17
AUT Forestry and logging,8.3752795997165e+16
AUT Fishing and aquaculture,2.258771494456004e+16
AUT Mining and quarrying,1.1311155873309202e+18
"AUT Manufacture of food products, beverages and tobacco products",5.332556599023814e+17
"AUT Manufacture of textiles, wearing apparel and leather products",4.130264085468104e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.5096171387088042e+17
AUT Manufacture of paper and paper products,1.893691687583502e+17
AUT Printing and reproduction of recorded media,3.1408727790693824e+17
AUT Manufacture of coke and refined petroleum products ,5.942160997669914e+17
AUT Manufacture of chemicals and chemical products ,2.756741155134162e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,9.29315653925222e+16
AUT Manufacture of rubber and plastic products,1.9613056668632294e+17
AUT Manufacture of other non-metallic mineral products,3.16797355315796e+17
AUT Manufacture of basic metals,4.727376309520895e+17
"AUT Manufacture of fabricated metal products, except machinery and equipment",4.925006653344269e+17
"AUT Manufacture of computer, electronic and optical products",1.0046087277858738e+17
AUT Manufacture of electrical equipment,1.2498701058389598e+17
AUT Manufacture of machinery and equipment n.e.c.,2.866482408207659e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",1.4700717532239014e+17
AUT Manufacture of other transport equipment,2.047364969786702e+17
AUT Manufacture of furniture; other manufacturing,6.742571359365463e+16
"AUT Electricity, gas, steam and air conditioning supply",1.6023497352029445e+18
"AUT Water collection, treatment and supply",3.13495504131606e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.484975879430867e+17
AUT Construction,3.5672588348661903e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,2.94095662600741e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",1.6687828441588465e+18
"AUT Retail trade, except of motor vehicles and motorcycles",5.5856610667289517e+17
AUT Land transport and transport via pipelines,8.12733958555294e+17
AUT Water transport,1.5938972824927386e+17
AUT Air transport,1.0956104166780033e+18
AUT Warehousing and support activities for transportation,1.188505476219991e+18
AUT Postal and courier activities,4.3901757280465114e+17
AUT Accommodation and food service activities,4.794485587383352e+17
AUT Publishing activities,3.125498531898676e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",5.159338000373527e+17
AUT Telecommunications,1.7751794282297326e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.225154087828489e+18
"AUT Financial service activities, except insurance and pension funding",4.4423899512563057e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",6.130292839072972e+17
AUT Activities auxiliary to financial services and insurance activities,1.3667283461328988e+18
AUT Real estate activities,2.8328631991553956e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,4.86632442331347e+18
AUT Administrative and support service activities,3.7558543491537874e+18
AUT Public administration and defence; compulsory social security,7.051373891586618e+17
AUT Education,2.3009688181036522e+17
AUT Human health and social work activities,7.0528545183626296e+16
AUT Other service activities,1.0472521848791003e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3.3119141800757964e+16
