Unnamed: 0,Total Output Scenario 2
"AUT Crop and animal production, hunting and related service activities",7.557254853004791e+17
AUT Forestry and logging,1.1774703684945331e+17
AUT Fishing and aquaculture,2.68168915494349e+16
AUT Mining and quarrying,2.7970777592537605e+18
"AUT Manufacture of food products, beverages and tobacco products",8.232633289572867e+17
"AUT Manufacture of textiles, wearing apparel and leather products",2.3363401649735622e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.279880884812129e+17
AUT Manufacture of paper and paper products,3.4802322944102144e+17
AUT Printing and reproduction of recorded media,4.576847330125081e+17
AUT Manufacture of coke and refined petroleum products ,1.322751221447646e+18
AUT Manufacture of chemicals and chemical products ,8.028309617715802e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.3091942394693757e+17
AUT Manufacture of rubber and plastic products,5.530492088433862e+17
AUT Manufacture of other non-metallic mineral products,4.470780980412145e+17
AUT Manufacture of basic metals,1.1277241078199382e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",8.39143806788325e+17
"AUT Manufacture of computer, electronic and optical products",1.8680012748742778e+17
AUT Manufacture of electrical equipment,1.4912409429952e+17
AUT Manufacture of machinery and equipment n.e.c.,2.978416368147831e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4.323777236755865e+17
AUT Manufacture of other transport equipment,2.877776978688358e+17
AUT Manufacture of furniture; other manufacturing,1.353753376940877e+17
"AUT Electricity, gas, steam and air conditioning supply",1.2126682386511782e+18
"AUT Water collection, treatment and supply",4.554404814792979e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",6.7199761062705896e+16
AUT Construction,3.4773842773302216e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,6.541704948346975e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.3264863934497454e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.468561870357704e+17
AUT Land transport and transport via pipelines,1.1811756989872952e+18
AUT Water transport,4.468306183984859e+17
AUT Air transport,1.4160871654885663e+18
AUT Warehousing and support activities for transportation,1.964664786757309e+18
AUT Postal and courier activities,7.885609872794648e+17
AUT Accommodation and food service activities,6.048078460965903e+17
AUT Publishing activities,5.179740900364517e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",9.365400548421375e+17
AUT Telecommunications,1.5411193802861924e+18
"AUT Computer programming, consultancy and related activities; information service activities",1.701553847123302e+18
"AUT Financial service activities, except insurance and pension funding",3.2258653000837827e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.5764085753117594e+17
AUT Activities auxiliary to financial services and insurance activities,7.887229526972289e+18
AUT Real estate activities,3.310926092055328e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.162908299335745e+18
AUT Administrative and support service activities,4.968733142160986e+18
AUT Public administration and defence; compulsory social security,8.925301540779288e+17
AUT Education,3.6864972994244384e+17
AUT Human health and social work activities,5.350580999089951e+16
AUT Other service activities,1.2465089342438543e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.0010023529530147e+17
