Unnamed: 0,Total Output Scenario 2
"AUT Crop and animal production, hunting and related service activities",6.611759257013019e+17
AUT Forestry and logging,8.977920792233987e+16
AUT Fishing and aquaculture,2.1826715666392908e+16
AUT Mining and quarrying,1.960423529114743e+18
"AUT Manufacture of food products, beverages and tobacco products",6.704678227268362e+17
"AUT Manufacture of textiles, wearing apparel and leather products",8.910252037464232e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.289840971666139e+17
AUT Manufacture of paper and paper products,2.6566042845144406e+17
AUT Printing and reproduction of recorded media,3.758718297653835e+17
AUT Manufacture of coke and refined petroleum products ,8.445344043279096e+17
AUT Manufacture of chemicals and chemical products ,5.4319383503754304e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.1575718694084042e+17
AUT Manufacture of rubber and plastic products,3.6781534763427514e+17
AUT Manufacture of other non-metallic mineral products,3.6737940013311456e+17
AUT Manufacture of basic metals,1.0095587513908888e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",6.2460190261226e+17
"AUT Manufacture of computer, electronic and optical products",1.2970270005372424e+17
AUT Manufacture of electrical equipment,1.255304382258838e+17
AUT Manufacture of machinery and equipment n.e.c.,2.0999346508008397e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",3.312587481552044e+17
AUT Manufacture of other transport equipment,2.256419315010866e+17
AUT Manufacture of furniture; other manufacturing,1.0362383073358166e+17
"AUT Electricity, gas, steam and air conditioning supply",1.2767766526228183e+18
"AUT Water collection, treatment and supply",3.536489384400213e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.0172492667878957e+17
AUT Construction,3.1956496774422886e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,4.611677776597974e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",1.888577963347909e+18
"AUT Retail trade, except of motor vehicles and motorcycles",6.617696603795828e+17
AUT Land transport and transport via pipelines,9.338720354467062e+17
AUT Water transport,2.518526759772088e+17
AUT Air transport,1.1104867601386363e+18
AUT Warehousing and support activities for transportation,1.413368498461589e+18
AUT Postal and courier activities,5.815774448494939e+17
AUT Accommodation and food service activities,5.457238603214985e+17
AUT Publishing activities,4.2509070859625626e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",7.610069583312796e+17
AUT Telecommunications,1.653446768271587e+18
"AUT Computer programming, consultancy and related activities; information service activities",1.947028088493644e+18
"AUT Financial service activities, except insurance and pension funding",3.5292748074632e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.898384687577111e+17
AUT Activities auxiliary to financial services and insurance activities,3.454183996428912e+18
AUT Real estate activities,2.7161512323735107e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.558779890061593e+18
AUT Administrative and support service activities,3.9624767841219046e+18
AUT Public administration and defence; compulsory social security,7.759909747996374e+17
AUT Education,3.1037848421356506e+17
AUT Human health and social work activities,6.338180175799269e+16
AUT Other service activities,1.0833001450574266e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,6.347921636284055e+16
