Unnamed: 0,Total Output Scenario 2
"AUT Crop and animal production, hunting and related service activities",1.3241237064883128e+18
AUT Forestry and logging,1.763491216512348e+17
AUT Fishing and aquaculture,4.2309851336029304e+16
AUT Mining and quarrying,1.80493221733894e+18
"AUT Manufacture of food products, beverages and tobacco products",1.0895135947003964e+18
"AUT Manufacture of textiles, wearing apparel and leather products",2.124882667929295e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.237587695435098e+17
AUT Manufacture of paper and paper products,4.379362199874399e+17
AUT Printing and reproduction of recorded media,5.6327211946764275e+17
AUT Manufacture of coke and refined petroleum products ,1.6172984201892992e+18
AUT Manufacture of chemicals and chemical products ,1.0233912067537198e+18
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.737504998947787e+17
AUT Manufacture of rubber and plastic products,7.104704518335476e+17
AUT Manufacture of other non-metallic mineral products,5.992552230610981e+17
AUT Manufacture of basic metals,2.1763242221382313e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",1.0818118115997014e+18
"AUT Manufacture of computer, electronic and optical products",2.3348402023144013e+17
AUT Manufacture of electrical equipment,2.1022790743615174e+17
AUT Manufacture of machinery and equipment n.e.c.,3.643458158515661e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",5.2633545761679e+17
AUT Manufacture of other transport equipment,4.107065080705886e+17
AUT Manufacture of furniture; other manufacturing,1.665214025006265e+17
"AUT Electricity, gas, steam and air conditioning supply",1.5087612812303355e+18
"AUT Water collection, treatment and supply",5.260296159121489e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",8.050799394386658e+16
AUT Construction,3.5481072109904077e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7.558886635082184e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.861981681594638e+18
"AUT Retail trade, except of motor vehicles and motorcycles",8.461843200318222e+17
AUT Land transport and transport via pipelines,1.1871183639227694e+18
AUT Water transport,4.1602052428214035e+17
AUT Air transport,1.359125813175702e+18
AUT Warehousing and support activities for transportation,1.8928196826545213e+18
AUT Postal and courier activities,7.462470943954191e+17
AUT Accommodation and food service activities,7.240721001027901e+17
AUT Publishing activities,6.131219109340398e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.1004528364260337e+18
AUT Telecommunications,1.783267456921662e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.0197639810858952e+18
"AUT Financial service activities, except insurance and pension funding",3.073963820078838e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.323881151924335e+17
AUT Activities auxiliary to financial services and insurance activities,7.354187512742108e+18
AUT Real estate activities,3.3711836303539395e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.002358997565165e+18
AUT Administrative and support service activities,4.983032749867134e+18
AUT Public administration and defence; compulsory social security,1.0375234986122217e+18
AUT Education,3.9370540510780806e+17
AUT Human health and social work activities,5.52342298198065e+16
AUT Other service activities,1.470768837051047e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.1670580496667078e+17
