Unnamed: 0,Total Output Scenario 2
"AUT Crop and animal production, hunting and related service activities",1.4976535296316805e+18
AUT Forestry and logging,2.2362257323402774e+17
AUT Fishing and aquaculture,4.6912352875084104e+16
AUT Mining and quarrying,1.8723998789262205e+18
"AUT Manufacture of food products, beverages and tobacco products",9.090201521671438e+17
"AUT Manufacture of textiles, wearing apparel and leather products",8.628474419159272e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.9442356865218e+17
AUT Manufacture of paper and paper products,4.010593774175065e+17
AUT Printing and reproduction of recorded media,5.210189259315724e+17
AUT Manufacture of coke and refined petroleum products ,1.4235623831607217e+18
AUT Manufacture of chemicals and chemical products ,9.075353487292375e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.5014418008169443e+17
AUT Manufacture of rubber and plastic products,6.49076195832094e+17
AUT Manufacture of other non-metallic mineral products,5.676075402519233e+17
AUT Manufacture of basic metals,1.601104886387884e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",9.929207589673647e+17
"AUT Manufacture of computer, electronic and optical products",2.0024980060650627e+17
AUT Manufacture of electrical equipment,1.7470334667551546e+17
AUT Manufacture of machinery and equipment n.e.c.,3.398290456593775e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4.2700039597049626e+17
AUT Manufacture of other transport equipment,3.027794524045214e+17
AUT Manufacture of furniture; other manufacturing,1.487707296115958e+17
"AUT Electricity, gas, steam and air conditioning supply",1.3867617446432294e+18
"AUT Water collection, treatment and supply",4.95462291745135e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",7.710657282908107e+16
AUT Construction,2.9928757641491917e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,6.788557485198268e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.5579218448319063e+18
"AUT Retail trade, except of motor vehicles and motorcycles",8.052408019411946e+17
AUT Land transport and transport via pipelines,1.0007188949585277e+18
AUT Water transport,3.817605852920016e+17
AUT Air transport,1.2534521144947986e+18
AUT Warehousing and support activities for transportation,1.6874185270308943e+18
AUT Postal and courier activities,7.003954453297912e+17
AUT Accommodation and food service activities,6.656533096268031e+17
AUT Publishing activities,5.992504002685993e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.0934280677829507e+18
AUT Telecommunications,1.711466216714008e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.0149794897597235e+18
"AUT Financial service activities, except insurance and pension funding",3.0448885264643297e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.343632268926723e+17
AUT Activities auxiliary to financial services and insurance activities,7.631717511017373e+18
AUT Real estate activities,3.2187327881530163e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.663362169872878e+18
AUT Administrative and support service activities,4.5068819945849656e+18
AUT Public administration and defence; compulsory social security,9.905460840524225e+17
AUT Education,3.7172473478603635e+17
AUT Human health and social work activities,4.923926286856915e+16
AUT Other service activities,1.3700421517826637e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.0670353159129853e+17
