Unnamed: 0,Total Output Scenario 2
"AUT Crop and animal production, hunting and related service activities",5.663259480494583e+17
AUT Forestry and logging,7.076694224185085e+16
AUT Fishing and aquaculture,1.9145935388577716e+16
AUT Mining and quarrying,2.0217458272240566e+18
"AUT Manufacture of food products, beverages and tobacco products",5.1303068101145555e+17
"AUT Manufacture of textiles, wearing apparel and leather products",5.958661703611644e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.69222385591349e+17
AUT Manufacture of paper and paper products,2.100404851001417e+17
AUT Printing and reproduction of recorded media,3.704275926380523e+17
AUT Manufacture of coke and refined petroleum products ,5.908739196014751e+17
AUT Manufacture of chemicals and chemical products ,3.404592583153125e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.0698996176051482e+17
AUT Manufacture of rubber and plastic products,2.4555130590908598e+17
AUT Manufacture of other non-metallic mineral products,3.406285668465316e+17
AUT Manufacture of basic metals,6.687416447471565e+17
"AUT Manufacture of fabricated metal products, except machinery and equipment",5.3532510294034643e+17
"AUT Manufacture of computer, electronic and optical products",1.0865516313019093e+17
AUT Manufacture of electrical equipment,1.2497680558363851e+17
AUT Manufacture of machinery and equipment n.e.c.,2.84436149583858e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",3.209559869895422e+17
AUT Manufacture of other transport equipment,2.3400057261799968e+17
AUT Manufacture of furniture; other manufacturing,8.28120520443115e+16
"AUT Electricity, gas, steam and air conditioning supply",2.1020042631268923e+18
"AUT Water collection, treatment and supply",3.859304649855113e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.969723123937557e+17
AUT Construction,3.3527593742326036e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,3.4484882586847974e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",1.793638412437603e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.168948315937555e+17
AUT Land transport and transport via pipelines,9.380213828025244e+17
AUT Water transport,1.8938744470320858e+17
AUT Air transport,1.2079256651628027e+18
AUT Warehousing and support activities for transportation,1.365435292227032e+18
AUT Postal and courier activities,5.0186126376117094e+17
AUT Accommodation and food service activities,4.616322673174064e+17
AUT Publishing activities,3.8671489746078976e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",6.340124620640472e+17
AUT Telecommunications,2.0323752233731937e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.6420480086080906e+18
"AUT Financial service activities, except insurance and pension funding",4.997434988090732e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",5.671350692692164e+17
AUT Activities auxiliary to financial services and insurance activities,1.439250350837921e+18
AUT Real estate activities,2.992031434608359e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.50376568654959e+18
AUT Administrative and support service activities,4.393939739847948e+18
AUT Public administration and defence; compulsory social security,8.097040477450545e+17
AUT Education,2.520169617544056e+17
AUT Human health and social work activities,7.172611870292148e+16
AUT Other service activities,1.1005341748272168e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3.4357599146665004e+16
