Unnamed: 0,Total Output Scenario 2
"AUT Crop and animal production, hunting and related service activities",1.0313425213538664e+18
AUT Forestry and logging,1.6268995045590906e+17
AUT Fishing and aquaculture,3.9024112208911704e+16
AUT Mining and quarrying,2.5187778705234227e+18
"AUT Manufacture of food products, beverages and tobacco products",9.582104740390639e+17
"AUT Manufacture of textiles, wearing apparel and leather products",2.276771766637819e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.923603585041702e+17
AUT Manufacture of paper and paper products,4.046838487089349e+17
AUT Printing and reproduction of recorded media,5.3825705511712224e+17
AUT Manufacture of coke and refined petroleum products ,1.5964558607664282e+18
AUT Manufacture of chemicals and chemical products ,9.490798609547485e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.6679516059313494e+17
AUT Manufacture of rubber and plastic products,6.649141199339013e+17
AUT Manufacture of other non-metallic mineral products,5.5847107886211283e+17
AUT Manufacture of basic metals,1.9048154269844413e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",1.0223904491351645e+18
"AUT Manufacture of computer, electronic and optical products",2.1989289611618112e+17
AUT Manufacture of electrical equipment,1.9637778882917818e+17
AUT Manufacture of machinery and equipment n.e.c.,3.649939053260329e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",5.036891640165141e+17
AUT Manufacture of other transport equipment,3.28574852105401e+17
AUT Manufacture of furniture; other manufacturing,1.6093417172593146e+17
"AUT Electricity, gas, steam and air conditioning supply",1.48550246843435e+18
"AUT Water collection, treatment and supply",5.228324748873854e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",8.062696056942157e+16
AUT Construction,3.682675086485634e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7.39995218099712e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.7563488513904655e+18
"AUT Retail trade, except of motor vehicles and motorcycles",8.207510254049073e+17
AUT Land transport and transport via pipelines,1.2089954542567222e+18
AUT Water transport,4.503217629829574e+17
AUT Air transport,1.4207018128552515e+18
AUT Warehousing and support activities for transportation,1.9740162302260431e+18
AUT Postal and courier activities,7.850793170532276e+17
AUT Accommodation and food service activities,6.882831106532152e+17
AUT Publishing activities,6.05582599660552e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.1076268261939135e+18
AUT Telecommunications,1.7812106489520937e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.0096378260619855e+18
"AUT Financial service activities, except insurance and pension funding",3.1765941434987464e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.460522806965401e+17
AUT Activities auxiliary to financial services and insurance activities,7.623011894307662e+18
AUT Real estate activities,3.4706814571306977e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.188222169690825e+18
AUT Administrative and support service activities,5.063544696808362e+18
AUT Public administration and defence; compulsory social security,9.953930014467427e+17
AUT Education,3.9139621381029926e+17
AUT Human health and social work activities,5.35276085445661e+16
AUT Other service activities,1.4580490224331474e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.1500695626045187e+17
