Unnamed: 0,Total Output Scenario 2
"AUT Crop and animal production, hunting and related service activities",9.805850368536193e+17
AUT Forestry and logging,1.2935391775573613e+17
AUT Fishing and aquaculture,3.2293510445329216e+16
AUT Mining and quarrying,2.93578379841435e+18
"AUT Manufacture of food products, beverages and tobacco products",9.132915552566838e+17
"AUT Manufacture of textiles, wearing apparel and leather products",2.554341533876881e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.4057065855682566e+17
AUT Manufacture of paper and paper products,3.7993960060305126e+17
AUT Printing and reproduction of recorded media,4.980443177348627e+17
AUT Manufacture of coke and refined petroleum products ,1.403325416283194e+18
AUT Manufacture of chemicals and chemical products ,8.373749268634711e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.4031561871832291e+17
AUT Manufacture of rubber and plastic products,5.881465445912442e+17
AUT Manufacture of other non-metallic mineral products,4.659761675212957e+17
AUT Manufacture of basic metals,1.0142907489280731e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",8.586592803027444e+17
"AUT Manufacture of computer, electronic and optical products",1.940240293220156e+17
AUT Manufacture of electrical equipment,1.4974746056291494e+17
AUT Manufacture of machinery and equipment n.e.c.,2.7290537690799763e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4.923414031737544e+17
AUT Manufacture of other transport equipment,2.9797519467339885e+17
AUT Manufacture of furniture; other manufacturing,1.4422231529949942e+17
"AUT Electricity, gas, steam and air conditioning supply",1.2716537282601958e+18
"AUT Water collection, treatment and supply",4.9108892957177837e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",6.943638376698059e+16
AUT Construction,3.611904358303991e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7.273638455896828e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.538492171820508e+18
"AUT Retail trade, except of motor vehicles and motorcycles",8.07543881818355e+17
AUT Land transport and transport via pipelines,1.2651144308565294e+18
AUT Water transport,4.7324267727832166e+17
AUT Air transport,1.5279071277338547e+18
AUT Warehousing and support activities for transportation,2.1049161970940739e+18
AUT Postal and courier activities,8.574855746231968e+17
AUT Accommodation and food service activities,6.560585196805975e+17
AUT Publishing activities,5.590016426386953e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.0256294950000374e+18
AUT Telecommunications,1.6819211611053558e+18
"AUT Computer programming, consultancy and related activities; information service activities",1.8166140918830403e+18
"AUT Financial service activities, except insurance and pension funding",3.6634966001668193e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",5.246463207539565e+17
AUT Activities auxiliary to financial services and insurance activities,9.049825186966527e+18
AUT Real estate activities,3.727895934687951e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.879864047109323e+18
AUT Administrative and support service activities,5.53132320551891e+18
AUT Public administration and defence; compulsory social security,8.823448932968902e+17
AUT Education,3.7911419279647366e+17
AUT Human health and social work activities,5.863331377950754e+16
AUT Other service activities,1.3491523720759596e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.067447704666786e+17
