Unnamed: 0,Total Output Scenario 2
"AUT Crop and animal production, hunting and related service activities",6.377739109538225e+17
AUT Forestry and logging,9.169270013067035e+16
AUT Fishing and aquaculture,2.3482118203771496e+16
AUT Mining and quarrying,1.7229152034589202e+18
"AUT Manufacture of food products, beverages and tobacco products",5.687717263503798e+17
"AUT Manufacture of textiles, wearing apparel and leather products",4.289253656728088e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.7435188981379373e+17
AUT Manufacture of paper and paper products,2.0795611247905018e+17
AUT Printing and reproduction of recorded media,3.542819959058785e+17
AUT Manufacture of coke and refined petroleum products ,6.519752367534125e+17
AUT Manufacture of chemicals and chemical products ,2.8733631985955165e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.004501717813157e+17
AUT Manufacture of rubber and plastic products,2.0687634492703715e+17
AUT Manufacture of other non-metallic mineral products,3.371022500807586e+17
AUT Manufacture of basic metals,5.0285609000605e+17
"AUT Manufacture of fabricated metal products, except machinery and equipment",5.310409249023658e+17
"AUT Manufacture of computer, electronic and optical products",1.0954082805996595e+17
AUT Manufacture of electrical equipment,1.3562616001172845e+17
AUT Manufacture of machinery and equipment n.e.c.,3.115311770042132e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",1.5690199762013302e+17
AUT Manufacture of other transport equipment,2.2380053366189626e+17
AUT Manufacture of furniture; other manufacturing,6.93453309895842e+16
"AUT Electricity, gas, steam and air conditioning supply",1.9767954662779855e+18
"AUT Water collection, treatment and supply",3.834280548869721e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.825330307547007e+17
AUT Construction,3.4692350246324403e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,3.273488045560462e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",1.815276656963264e+18
"AUT Retail trade, except of motor vehicles and motorcycles",6.100093060314835e+17
AUT Land transport and transport via pipelines,9.064687537672294e+17
AUT Water transport,1.7222066002843072e+17
AUT Air transport,1.2065394733179866e+18
AUT Warehousing and support activities for transportation,1.3024881771869998e+18
AUT Postal and courier activities,4.851487157629589e+17
AUT Accommodation and food service activities,4.689888045163008e+17
AUT Publishing activities,3.6014728757972294e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",5.872011321866838e+17
AUT Telecommunications,2.012519061014473e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.477115768763646e+18
"AUT Financial service activities, except insurance and pension funding",4.792799868629012e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",6.597828508872733e+17
AUT Activities auxiliary to financial services and insurance activities,1.4761689703044088e+18
AUT Real estate activities,3.0111554699134607e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.500717872296153e+18
AUT Administrative and support service activities,4.1041552717199345e+18
AUT Public administration and defence; compulsory social security,7.548709168783796e+17
AUT Education,2.4220552707900166e+17
AUT Human health and social work activities,7.185030010886115e+16
AUT Other service activities,1.1115958439315418e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3.4782417055304092e+16
