Unnamed: 0,Total Output Scenario 2
"AUT Crop and animal production, hunting and related service activities",1.1568358913072515e+18
AUT Forestry and logging,1.7090049266139994e+17
AUT Fishing and aquaculture,4.0408155746308904e+16
AUT Mining and quarrying,3.039635435214876e+18
"AUT Manufacture of food products, beverages and tobacco products",9.821927902758646e+17
"AUT Manufacture of textiles, wearing apparel and leather products",2.664282589934561e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.883281138307436e+17
AUT Manufacture of paper and paper products,4.1477505392517146e+17
AUT Printing and reproduction of recorded media,5.364212719692533e+17
AUT Manufacture of coke and refined petroleum products ,1.57995691706788e+18
AUT Manufacture of chemicals and chemical products ,9.77291042102731e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.7042815372853594e+17
AUT Manufacture of rubber and plastic products,6.606010584070083e+17
AUT Manufacture of other non-metallic mineral products,5.3465146269506246e+17
AUT Manufacture of basic metals,1.808280667985892e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",9.907895636560861e+17
"AUT Manufacture of computer, electronic and optical products",2.2030932525092058e+17
AUT Manufacture of electrical equipment,1.7757134851081338e+17
AUT Manufacture of machinery and equipment n.e.c.,3.43127866137903e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4.9943918084324077e+17
AUT Manufacture of other transport equipment,3.1692286624218214e+17
AUT Manufacture of furniture; other manufacturing,1.597974247522491e+17
"AUT Electricity, gas, steam and air conditioning supply",1.4666396929723768e+18
"AUT Water collection, treatment and supply",5.2875782370696864e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",7.856451928843554e+16
AUT Construction,3.636914921612145e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7.44520272188952e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.702818082051367e+18
"AUT Retail trade, except of motor vehicles and motorcycles",8.28460868675522e+17
AUT Land transport and transport via pipelines,1.2427883896395338e+18
AUT Water transport,4.607024448927295e+17
AUT Air transport,1.4423906424417958e+18
AUT Warehousing and support activities for transportation,2.016288106528681e+18
AUT Postal and courier activities,8.035757121884518e+17
AUT Accommodation and food service activities,7.093174860390857e+17
AUT Publishing activities,5.846442382709343e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.0538156341685537e+18
AUT Telecommunications,1.7382677267083133e+18
"AUT Computer programming, consultancy and related activities; information service activities",1.9085572405246236e+18
"AUT Financial service activities, except insurance and pension funding",3.429205692138546e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.891764910868936e+17
AUT Activities auxiliary to financial services and insurance activities,8.331609976572172e+18
AUT Real estate activities,3.5613250891850793e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.483352542913623e+18
AUT Administrative and support service activities,5.171268711466046e+18
AUT Public administration and defence; compulsory social security,1.0411735779098065e+18
AUT Education,4.251408891688912e+17
AUT Human health and social work activities,5.9880085618476936e+16
AUT Other service activities,1.449436027730147e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.1404510154814854e+17
