Unnamed: 0,Total Output Scenario 2
"AUT Crop and animal production, hunting and related service activities",7.074481055456809e+17
AUT Forestry and logging,8.39703055580626e+16
AUT Fishing and aquaculture,2.288110784324859e+16
AUT Mining and quarrying,2.5696613264003405e+18
"AUT Manufacture of food products, beverages and tobacco products",6.323865927051424e+17
"AUT Manufacture of textiles, wearing apparel and leather products",8.042780244779448e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.086986514860999e+17
AUT Manufacture of paper and paper products,2.4431239472786282e+17
AUT Printing and reproduction of recorded media,3.8647451263308205e+17
AUT Manufacture of coke and refined petroleum products ,7.725882479596512e+17
AUT Manufacture of chemicals and chemical products ,4.641971180146904e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.1827444573862027e+17
AUT Manufacture of rubber and plastic products,3.335539957510009e+17
AUT Manufacture of other non-metallic mineral products,3.605960511427597e+17
AUT Manufacture of basic metals,8.743011304029372e+17
"AUT Manufacture of fabricated metal products, except machinery and equipment",6.176869948436666e+17
"AUT Manufacture of computer, electronic and optical products",1.2750748519514091e+17
AUT Manufacture of electrical equipment,1.3174108569082224e+17
AUT Manufacture of machinery and equipment n.e.c.,2.5136959138856522e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",3.843271478492545e+17
AUT Manufacture of other transport equipment,2.417311737450003e+17
AUT Manufacture of furniture; other manufacturing,1.0056249540308168e+17
"AUT Electricity, gas, steam and air conditioning supply",1.5222974480578081e+18
"AUT Water collection, treatment and supply",3.748848534422022e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.3509685676016581e+17
AUT Construction,3.510464456358499e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,4.4304518143657005e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",1.958614516636295e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.127972021215296e+17
AUT Land transport and transport via pipelines,9.800947780980649e+17
AUT Water transport,2.402621073278821e+17
AUT Air transport,1.1699664458885097e+18
AUT Warehousing and support activities for transportation,1.4420331369535555e+18
AUT Postal and courier activities,5.793719903199244e+17
AUT Accommodation and food service activities,5.416758880006528e+17
AUT Publishing activities,4.209359340025153e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",7.372170107985344e+17
AUT Telecommunications,1.8217774930588006e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.2079664979534316e+18
"AUT Financial service activities, except insurance and pension funding",4.09417391170125e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",5.410745500062043e+17
AUT Activities auxiliary to financial services and insurance activities,2.772351744089746e+18
AUT Real estate activities,2.7936934325481196e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.722250535074738e+18
AUT Administrative and support service activities,4.373946618915336e+18
AUT Public administration and defence; compulsory social security,8.291726388570298e+17
AUT Education,2.933773034214423e+17
AUT Human health and social work activities,7.136080630182444e+16
AUT Other service activities,1.1200842156921248e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,5.5497111678787304e+16
