Unnamed: 0,Total Output Scenario 2
"AUT Crop and animal production, hunting and related service activities",7.78079513570053e+17
AUT Forestry and logging,1.127066680843922e+17
AUT Fishing and aquaculture,2.654903061497994e+16
AUT Mining and quarrying,2.688147605886929e+18
"AUT Manufacture of food products, beverages and tobacco products",7.188976852499529e+17
"AUT Manufacture of textiles, wearing apparel and leather products",1.0302722024635064e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.7283816896024352e+17
AUT Manufacture of paper and paper products,3.051241302292991e+17
AUT Printing and reproduction of recorded media,4.1155675014314035e+17
AUT Manufacture of coke and refined petroleum products ,1.0254257865402628e+18
AUT Manufacture of chemicals and chemical products ,6.280261130268417e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.129055259458354e+17
AUT Manufacture of rubber and plastic products,4.512103661060675e+17
AUT Manufacture of other non-metallic mineral products,4.1888876867592275e+17
AUT Manufacture of basic metals,1.0208998502337235e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",7.329390387731461e+17
"AUT Manufacture of computer, electronic and optical products",1.4482953190861293e+17
AUT Manufacture of electrical equipment,1.4245453647907733e+17
AUT Manufacture of machinery and equipment n.e.c.,2.5692441643619827e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",3.777405967056843e+17
AUT Manufacture of other transport equipment,2.476722618309975e+17
AUT Manufacture of furniture; other manufacturing,1.1409139214342957e+17
"AUT Electricity, gas, steam and air conditioning supply",1.2079955634477458e+18
"AUT Water collection, treatment and supply",3.8808778863061984e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",8.348875367279787e+16
AUT Construction,3.2476855919981957e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,5.4355526254280666e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.018202389843861e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.057809615825801e+17
AUT Land transport and transport via pipelines,1.0155256237997311e+18
AUT Water transport,3.2378943098057664e+17
AUT Air transport,1.2275794490598528e+18
AUT Warehousing and support activities for transportation,1.6070321166379103e+18
AUT Postal and courier activities,6.767648077977472e+17
AUT Accommodation and food service activities,5.674888909237785e+17
AUT Publishing activities,4.551098487455177e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",8.267333968943004e+17
AUT Telecommunications,1.5737303317902876e+18
"AUT Computer programming, consultancy and related activities; information service activities",1.7789564266487944e+18
"AUT Financial service activities, except insurance and pension funding",3.584973607681835e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",5.21114794561519e+17
AUT Activities auxiliary to financial services and insurance activities,5.310077373269016e+18
AUT Real estate activities,2.939559526242296e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.900841549894722e+18
AUT Administrative and support service activities,4.248986474700262e+18
AUT Public administration and defence; compulsory social security,7.808214012331643e+17
AUT Education,3.3160003150136646e+17
AUT Human health and social work activities,5.718837969042084e+16
AUT Other service activities,1.1484925184853138e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,8.028846633310675e+16
