Unnamed: 0,Total Output Scenario 2
"AUT Crop and animal production, hunting and related service activities",6.36926719776477e+17
AUT Forestry and logging,7.319972694669829e+16
AUT Fishing and aquaculture,2.177114250911801e+16
AUT Mining and quarrying,2.2648508329284001e+18
"AUT Manufacture of food products, beverages and tobacco products",6.26993670469793e+17
"AUT Manufacture of textiles, wearing apparel and leather products",7.277493247032378e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.8701652429411693e+17
AUT Manufacture of paper and paper products,2.315841334101685e+17
AUT Printing and reproduction of recorded media,3.9080948700554586e+17
AUT Manufacture of coke and refined petroleum products ,6.999574362034337e+17
AUT Manufacture of chemicals and chemical products ,4.047797962575911e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.2413575666487933e+17
AUT Manufacture of rubber and plastic products,2.8939762569325235e+17
AUT Manufacture of other non-metallic mineral products,3.439578408069718e+17
AUT Manufacture of basic metals,7.491685646305628e+17
"AUT Manufacture of fabricated metal products, except machinery and equipment",5.769264311323072e+17
"AUT Manufacture of computer, electronic and optical products",1.2282096778621475e+17
AUT Manufacture of electrical equipment,1.327045588121842e+17
AUT Manufacture of machinery and equipment n.e.c.,2.767484378984036e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",3.302385353717043e+17
AUT Manufacture of other transport equipment,2.3604626165911574e+17
AUT Manufacture of furniture; other manufacturing,9.22417589930323e+16
"AUT Electricity, gas, steam and air conditioning supply",1.7996261927148575e+18
"AUT Water collection, treatment and supply",3.819731111531365e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.6339748792522467e+17
AUT Construction,3.480606029448228e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,4.040091075358451e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",1.9235372295175137e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.490454202487785e+17
AUT Land transport and transport via pipelines,1.0025345591680677e+18
AUT Water transport,2.3715003219305414e+17
AUT Air transport,1.2033159835446344e+18
AUT Warehousing and support activities for transportation,1.4346709043144143e+18
AUT Postal and courier activities,5.5470141627869824e+17
AUT Accommodation and food service activities,5.4193066236192723e+17
AUT Publishing activities,4.072269970729982e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",6.912229148039579e+17
AUT Telecommunications,1.9404500215710152e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.382896303040312e+18
"AUT Financial service activities, except insurance and pension funding",4.4768958780371804e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",5.569248778359794e+17
AUT Activities auxiliary to financial services and insurance activities,2.0275093075884884e+18
AUT Real estate activities,3.0529295448649764e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.672665611886923e+18
AUT Administrative and support service activities,4.3822740851029985e+18
AUT Public administration and defence; compulsory social security,8.193411640065289e+17
AUT Education,2.865803267084989e+17
AUT Human health and social work activities,7.308947432931544e+16
AUT Other service activities,1.1421776607883363e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,4.7670611242934856e+16
