Unnamed: 0,Total Output Scenario 2
"AUT Crop and animal production, hunting and related service activities",1.1018189312904393e+18
AUT Forestry and logging,1.8288306667382358e+17
AUT Fishing and aquaculture,3.4628116876296532e+16
AUT Mining and quarrying,1.7112549192170473e+18
"AUT Manufacture of food products, beverages and tobacco products",8.619256296316325e+17
"AUT Manufacture of textiles, wearing apparel and leather products",7.398485837995774e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.83367437883377e+17
AUT Manufacture of paper and paper products,3.8542785810471366e+17
AUT Printing and reproduction of recorded media,5.031224920739027e+17
AUT Manufacture of coke and refined petroleum products ,1.3136315908115574e+18
AUT Manufacture of chemicals and chemical products ,8.549305219648236e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.3500816265993923e+17
AUT Manufacture of rubber and plastic products,6.249129656428447e+17
AUT Manufacture of other non-metallic mineral products,5.5708387389584877e+17
AUT Manufacture of basic metals,1.399986655039937e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",9.69391882365654e+17
"AUT Manufacture of computer, electronic and optical products",1.9010030554467792e+17
AUT Manufacture of electrical equipment,1.690705847115641e+17
AUT Manufacture of machinery and equipment n.e.c.,3.3495277871236915e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4.0045239142140986e+17
AUT Manufacture of other transport equipment,2.630761105386518e+17
AUT Manufacture of furniture; other manufacturing,1.411259609300522e+17
"AUT Electricity, gas, steam and air conditioning supply",1.2422340902958615e+18
"AUT Water collection, treatment and supply",4.474151782431522e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",7.031869229828076e+16
AUT Construction,2.4934248237212334e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,6.052821056294931e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.259415245808662e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.041907244892296e+17
AUT Land transport and transport via pipelines,8.834567237730111e+17
AUT Water transport,3.448934495396628e+17
AUT Air transport,1.1587900992700209e+18
AUT Warehousing and support activities for transportation,1.524179011746913e+18
AUT Postal and courier activities,6.535341560466533e+17
AUT Accommodation and food service activities,6.210829224499012e+17
AUT Publishing activities,5.646254114332169e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.0498454661460136e+18
AUT Telecommunications,1.6065581030777213e+18
"AUT Computer programming, consultancy and related activities; information service activities",1.937750191690612e+18
"AUT Financial service activities, except insurance and pension funding",2.856171188546392e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.0224816437995546e+17
AUT Activities auxiliary to financial services and insurance activities,7.438863369238022e+18
AUT Real estate activities,2.8987847827914373e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.28818990877081e+18
AUT Administrative and support service activities,4.0108723908598774e+18
AUT Public administration and defence; compulsory social security,8.672559984542068e+17
AUT Education,3.2312889586039904e+17
AUT Human health and social work activities,4.122860353489264e+16
AUT Other service activities,1.2600929234222746e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,9.465670944371302e+16
