Unnamed: 0,Total Output Scenario 2
"AUT Crop and animal production, hunting and related service activities",9.560580101830227e+17
AUT Forestry and logging,1.6489066032670835e+17
AUT Fishing and aquaculture,3.2555154346773692e+16
AUT Mining and quarrying,2.04252793237922e+18
"AUT Manufacture of food products, beverages and tobacco products",9.622431334566017e+17
"AUT Manufacture of textiles, wearing apparel and leather products",1.0360832097639306e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.092031586181761e+17
AUT Manufacture of paper and paper products,4.060264957801928e+17
AUT Printing and reproduction of recorded media,5.317981676740657e+17
AUT Manufacture of coke and refined petroleum products ,1.5277371067399258e+18
AUT Manufacture of chemicals and chemical products ,9.662871674136654e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.6127777227654246e+17
AUT Manufacture of rubber and plastic products,6.723560895287843e+17
AUT Manufacture of other non-metallic mineral products,5.853032946751953e+17
AUT Manufacture of basic metals,1.9643386130668234e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",1.0430228062990418e+18
"AUT Manufacture of computer, electronic and optical products",2.2351642126448538e+17
AUT Manufacture of electrical equipment,1.9062572071666714e+17
AUT Manufacture of machinery and equipment n.e.c.,3.5266869275695475e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4.769427332627769e+17
AUT Manufacture of other transport equipment,3.6759348496644864e+17
AUT Manufacture of furniture; other manufacturing,1.549430944759007e+17
"AUT Electricity, gas, steam and air conditioning supply",1.435797576535413e+18
"AUT Water collection, treatment and supply",4.9754821446936166e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",7.719501239075395e+16
AUT Construction,3.135710331827039e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7.115237733342365e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.6935790512085996e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.829874941829855e+17
AUT Land transport and transport via pipelines,1.0636816010126904e+18
AUT Water transport,3.9575210060897715e+17
AUT Air transport,1.275239005206011e+18
AUT Warehousing and support activities for transportation,1.735291408774252e+18
AUT Postal and courier activities,7.035287432470548e+17
AUT Accommodation and food service activities,6.517989821857638e+17
AUT Publishing activities,5.9257572823231e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.0674892475446858e+18
AUT Telecommunications,1.6819122312935204e+18
"AUT Computer programming, consultancy and related activities; information service activities",1.931356493476951e+18
"AUT Financial service activities, except insurance and pension funding",2.953700230118523e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.098944096571367e+17
AUT Activities auxiliary to financial services and insurance activities,7.151641404884901e+18
AUT Real estate activities,3.5121926525126395e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.629956216939785e+18
AUT Administrative and support service activities,4.724453183775233e+18
AUT Public administration and defence; compulsory social security,9.358621867095718e+17
AUT Education,3.758656308119481e+17
AUT Human health and social work activities,4.911103013216923e+16
AUT Other service activities,1.372668407164487e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.0809074167732314e+17
