Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
"AUT Crop and animal production, hunting and related service activities",0.3252711398270219,0.3861773700305817,0.17557251908396979,0.004988944068726413,0.3898115458781268,0.18919425593341122,0.000838984828357602,0.0005622891415719013,0.00041340464563470095,4.3697699316131104e-05,0.003048780487804807,0.014958205015398133,0.019593585409952045,0.0005503135640828012,0.00015567057881650027,0.00046095401586310094,0.00037853695467010107,0.00035181986822740074,0.0003210812794324007,0.00033318960448430084,0.000494049920522401,0.002763029580669607,0.00023816596838790053,0.0015054631239135039,0.000496770988574201,0.002568788431061106,0.0006469731947242013,0.006247225008633314,0.031453788392608296,0.0014760666338651037,0.0012752858399296037,0.0005369460162735013,0.0011950252081305032,0.001071311319613603,0.031631514080412974,0.0003512140298297007,0.003760595328106909,0.0006207028265851012,0.0009722939253140021,0.000425482980680701,0.0004264503018526009,0.0008695420234189025,0.0013527197866012026,0.0015166618586676041,0.0038542183791754094,0.002902117124360907,0.0038384189967900087,0.007228657758457413,0.012796653547978137,0.02887329623356727
AUT Forestry and logging,0.0034238450746714084,0.17039755351681993,0.00039146604032100086,0.0002491477470096006,4.901057783471279e-05,7.498781448014715e-05,0.24821715723974047,6.247657128576796e-05,0.0007492959202129017,5.826359908817481e-05,0.015391424075531035,0.00449723810920461,0.00461834761418121,9.171892734714487e-05,8.33949529374484e-06,7.152734728911368e-05,9.463423866755019e-05,6.396724876863059e-05,4.586875420463591e-05,7.839755399631553e-05,8.592172530824438e-05,5.41770506013654e-05,4.6096639042829e-05,3.1040476781723444e-05,0.0001987083954297004,0.00022770884183460056,4.4111808731197426e-05,0.00014799953955690033,0.00014925733501020046,0.00022309081629840054,0.00010993843447660032,0.00022303911445210054,0.0003378034782861009,0.00015551293349230045,0.0001947538543822005,7.02428059659558e-05,7.958931911337518e-05,5.456728145803788e-05,0.0002280158320426005,0.00011499540018390028,0.0001372057492917003,0.00014936918193690044,0.00011386530190240024,0.00016708986578540044,0.00026602485551910067,0.00011219524965310025,0.0001837026723904004,0.00020171083722340035,0.00019322099396940057,0.0002419549963706006
AUT Fishing and aquaculture,0.0006619238553257017,0.0,0.022705030338618152,9.941953366249612e-05,0.005604106072410512,0.011398147800982326,5.243655177235557e-05,6.247657128576796e-05,5.167558070433829e-05,7.282949886021851e-06,0.0001671911880409004,9.776604585227571e-05,7.861017215627721e-05,8.025406142875176e-05,5.559663529163226e-06,5.563238122486619e-05,4.7317119333775095e-05,6.396724876863059e-05,4.586875420463591e-05,5.8798165497236644e-05,6.444129398118328e-05,0.025300682630837568,3.841386586902417e-05,3.1040476781723444e-05,0.0001987083954297004,5.1109831287693624e-05,4.4111808731197426e-05,0.00036999884889240084,0.006134915461084419,7.028888732691378e-05,6.596306068601602e-05,0.00018999628268140045,0.0002651575689772007,0.0001036752889948003,0.005319396321186813,4.6828537310637206e-05,5.969198933503138e-05,2.728364072901894e-05,0.0001677852348993004,9.966268015946054e-05,0.00010753964133670025,0.00010669227281210032,5.920995698928007e-05,0.00013138690301070036,0.00017595344774490044,0.00018325224110010043,0.00020787407665230046,0.00036637274516090066,0.0004508489859287013,0.0003226066618275008
AUT Mining and quarrying,0.006396644690404116,0.0017125382262996032,0.008807985907222518,0.11329634447550829,0.011328203559519925,0.005961531251171613,0.010032860239110623,0.020388187762922245,0.009404955688189522,0.8663797184411594,0.125590086546027,0.009662544198399821,0.01640987343762284,0.1438152780803231,0.742618156749155,0.015489644429609132,0.011640011356108633,0.00943516919337292,0.007996452816341518,0.00809454745011952,0.01013876358637282,0.01923285296348465,0.050818983620327614,0.008846535882791122,0.011823149528067524,0.021191465738545353,0.006646179182167013,0.06334215849106253,0.008878616472302828,0.014201411278615935,0.02510993843447667,0.010763702449299925,0.014478329725253139,0.03208750194391169,0.01204276445829363,0.006087709850382812,0.005770225635719614,0.006831141547528115,0.010871622784374424,0.0035610242256976085,0.003715680021359508,0.013101811101330938,0.008630989884206517,0.015876393486637042,0.010733160312443027,0.009888141336095823,0.00891441389178942,0.01166629617737382,0.009633930962477827,0.011371884829421728
"AUT Manufacture of food products, beverages and tobacco products",0.04500203556229851,0.0014678899082568029,0.06811509101585446,0.0033083946021182082,0.20107519067649854,0.10123354954819862,0.0015206600013983034,0.003436211420717208,0.0018344831150040044,0.0002621861958967006,0.038611329661683784,0.016522461749034538,0.009924534234729922,0.001811448815106104,0.0002335058682248004,0.0014543893948786028,0.00350146683069931,0.004989445403953111,0.002782704421747906,0.001881541295911505,0.0046827340292993095,0.006745042799869918,0.000880957990596202,0.0020641917059846054,0.00993541977148532,0.0016579530637227042,0.005661015453836911,0.020539047211853144,0.03693899545423622,0.0014180019008559034,0.0015391380826737043,0.003725579282144409,0.0009698228892731026,0.003732310403815211,0.32429132851196496,0.000561942447727601,0.0019300409884993048,0.0007196060242278015,0.0011228704181724023,0.0030128794848206073,0.0008380675497278019,0.001392334160198404,0.0006057634061210012,0.0035517307368234095,0.0034855540124717086,0.00814724504564472,0.019622345979812043,0.0543384296193841,0.03092213871911439,0.0429873376885233
"AUT Manufacture of textiles, wearing apparel and leather products",0.0015054374408735036,0.0009785932721712018,0.004893325504012511,0.0016362299154574042,0.0017069201245882037,0.08027445540099748,0.0014507445990351035,0.0015202632346203034,0.0035139394878949083,0.00013837604783440032,0.003117623918174607,0.0018575548711932041,0.00453973744202491,0.0020636758653107042,0.00015845041058110026,0.0032028356619458066,0.0035487839500331106,0.0025586899507452055,0.0035930524126964077,0.0031751009368507087,0.005950079477595912,0.01508830859248024,0.00043535714651560096,0.0006208095356344016,0.0024838549428713047,0.0019164109097466048,0.003117234483671206,0.002387725904852705,0.0029083230718915092,0.0016930453730047042,0.0007695690413368021,0.0005617281401016014,0.0004431400467839012,0.002038947350232406,0.0015260563216519037,0.0002575569552085005,0.001114250467587203,0.0005422623594892012,0.00028394424367570066,0.00022999080036790058,9.641485085364248e-05,0.0001707076364994005,0.0001852208910946004,0.0004370042643618011,0.0007498968368178018,0.0016324408824530039,0.003214796766832907,0.007660895266793414,0.0032610280034847095,0.013952738124042234
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.000808367186149902,0.0003669724770642007,0.0021530632217655046,0.0007079149927052018,0.0002737832279042006,0.002812043043005506,0.09758442284835363,0.024719896705402155,0.0004650802263390011,0.0002184884965806005,0.0004819040125885011,0.0003747698424337008,0.003419542488798008,0.0031184435298029067,0.00010841343881860018,0.005483763292165311,0.001040976625343003,0.0010554596046824024,0.003119075285915207,0.001479753831680404,0.016862138591742935,0.15351067287896883,7.682773173804834e-05,0.0017848274149490045,0.0013909587680079028,0.031236001931369876,0.0007940125571615016,0.0015605729226620035,0.0013828253096540043,0.0010543333099037027,0.0002418645558487007,0.00014043203502540035,0.0016890173914306046,0.0007084478081315021,0.00039241448271050097,9.365707462127441e-05,0.0005173305742369013,9.20822874604389e-05,0.00014197212183780032,5.749770009199646e-05,3.337437144933778e-05,0.0001386999546557004,0.00014119297435900027,0.00017994293238430048,0.00018223749945010044,0.0004057728195788009,0.005134006265227912,0.0006586476317501012,0.002071193461672706,0.00040325832728440095
AUT Manufacture of paper and paper products,0.0010133878493039023,0.00024464831804280046,0.0005871990604815013,0.0008947758029624023,0.011113571029002425,0.006561433767012815,0.0030762777039781072,0.12980548960806387,0.11766529726377818,0.00023305439635260054,0.009264358772619921,0.01795636375486794,0.011162644446191325,0.008117125070222317,5.003697176246903e-05,0.002050450622287904,0.0040219551433708116,0.0035181986822746076,0.0030884961164454067,0.0015973501626749043,0.0017184345061648035,0.003006826308375708,0.0006786449636860015,0.0006518500124161016,0.003378042722305007,0.0023090840037862056,0.0016762487317854033,0.010723388860567925,0.00968855701081453,0.0015249632511360038,0.0019788918205804057,0.0023129982239477056,0.00023609920525370062,0.004423478997114313,0.0029474687812478073,0.08084946966681507,0.006436786183294216,0.0007537105751391016,0.000980898296334502,0.001195952161913503,0.0011087707848168023,0.00046411138673280134,0.00025354007223610047,0.0010182484983333028,0.0016610843340685042,0.004700980960466112,0.006550450554975415,0.006409464766468211,0.0030508577995179086,0.010807323171223427
AUT Printing and reproduction of recorded media,0.0012506260452392031,0.0006116207951070012,0.0010765316108827024,0.002419607927689606,0.0021006947671913046,0.004461774961568709,0.0021149409214850047,0.05806156024824033,0.19342169857633815,0.00011652719817630027,0.004042092840283209,0.0043505890404262094,0.004362864554673309,0.0026713137589855058,0.00015845041058110026,0.003449207635941607,0.004731711933377414,0.004445723789419809,0.005167879640388911,0.0028125122496178074,0.003479829874983807,0.0036298623902914096,0.000950102949160502,0.0010243357337968025,0.0028812717337307055,0.0016533822658027042,0.0032936817185960066,0.007993619575405717,0.014060918942292243,0.0017144376430608041,0.0008355321020228024,0.0007847672545537019,0.0008245310706554022,0.011853541375079935,0.003648001302234709,0.16464913718420032,0.052479207290381726,0.005889855942376912,0.005743417656169313,0.0030358785648574075,0.008158179687615816,0.003979621775892811,0.0012601093410539027,0.005276897898095114,0.004474244814086311,0.009833913632096822,0.01412093436980313,0.003441433875894306,0.008145790324712925,0.013549479796757833
AUT Manufacture of coke and refined petroleum products ,0.021805411959733952,0.23706422018348663,0.10422783323546704,0.02769373034068557,0.0015632684309348035,0.0016497319185632038,0.0039851779346990095,0.003956849514765209,0.002377076712399506,0.02060346522755575,0.055674665617624026,0.0011568982092519027,0.027710085685087663,0.007188470930832414,0.013596157160568624,0.005698345334032712,0.0008043910286741023,0.0014712467216785033,0.0016359855666320036,0.0017051467994198045,0.00981655711646692,0.0009751869108245026,0.0028605525450466065,0.009513906133598224,0.03288623944361646,0.011953883142149329,0.00923407196106392,0.004831362746871411,0.0033100008999339104,0.06012144697314665,0.04804309586631494,0.18380075172442314,0.0029966437589899076,0.026523594767853775,0.0011714299002395028,0.002458498208808405,0.0011838911218114028,0.01025182800392882,0.0002194114610221005,0.0014527752223244034,0.0006600709019980015,0.0040222986850177115,0.0003628507620625007,0.002940496014121208,0.0017469663740393043,0.00441488307385061,0.0016436554898093037,0.0037584080486740066,0.002050854409675906,0.0071779982256633176
